sex,bin_lo_min,bin_hi_min,bin_mid_min,n,density_per_min
M,142.5,143.0,142.75,200,400.0
M,143.0,143.5,143.25,189,378.0
M,143.5,144.0,143.75,215,430.0
M,144.0,144.5,144.25,247,494.0
M,144.5,145.0,144.75,261,522.0
M,145.0,145.5,145.25,248,496.0
M,145.5,146.0,145.75,293,586.0
M,146.0,146.5,146.25,287,574.0
M,146.5,147.0,146.75,337,674.0
M,147.0,147.5,147.25,356,712.0
M,147.5,148.0,147.75,433,866.0
M,148.0,148.5,148.25,472,944.0
M,148.5,149.0,148.75,528,1056.0
M,149.0,149.5,149.25,513,1026.0
M,149.5,150.0,149.75,619,1238.0
M,150.0,150.5,150.25,474,948.0
M,150.5,151.0,150.75,494,988.0
M,151.0,151.5,151.25,478,956.0
M,151.5,152.0,151.75,547,1094.0
M,152.0,152.5,152.25,593,1186.0
M,152.5,153.0,152.75,626,1252.0
M,153.0,153.5,153.25,630,1260.0
M,153.5,154.0,153.75,746,1492.0
M,154.0,154.5,154.25,726,1452.0
M,154.5,155.0,154.75,855,1710.0
M,155.0,155.5,155.25,815,1630.0
M,155.5,156.0,155.75,951,1902.0
M,156.0,156.5,156.25,935,1870.0
M,156.5,157.0,156.75,925,1850.0
M,157.0,157.5,157.25,958,1916.0
M,157.5,158.0,157.75,1111,2222.0
M,158.0,158.5,158.25,1174,2348.0
M,158.5,159.0,158.75,1339,2678.0
M,159.0,159.5,159.25,1385,2770.0
M,159.5,160.0,159.75,1333,2666.0
M,160.0,160.5,160.25,1088,2176.0
M,160.5,161.0,160.75,1169,2338.0
M,161.0,161.5,161.25,1259,2518.0
M,161.5,162.0,161.75,1314,2628.0
M,162.0,162.5,162.25,1279,2558.0
M,162.5,163.0,162.75,1534,3068.0
M,163.0,163.5,163.25,1558,3116.0
M,163.5,164.0,163.75,1765,3530.0
M,164.0,164.5,164.25,1803,3606.0
M,164.5,165.0,164.75,1942,3884.0
M,165.0,165.5,165.25,1593,3186.0
M,165.5,166.0,165.75,1834,3668.0
M,166.0,166.5,166.25,1811,3622.0
M,166.5,167.0,166.75,2010,4020.0
M,167.0,167.5,167.25,2021,4042.0
M,167.5,168.0,167.75,2178,4356.0
M,168.0,168.5,168.25,2268,4536.0
M,168.5,169.0,168.75,2419,4838.0
M,169.0,169.5,169.25,2489,4978.0
M,169.5,170.0,169.75,2527,5054.0
M,170.0,170.5,170.25,1995,3990.0
M,170.5,171.0,170.75,2264,4528.0
M,171.0,171.5,171.25,2301,4602.0
M,171.5,172.0,171.75,2529,5058.0
M,172.0,172.5,172.25,2414,4828.0
M,172.5,173.0,172.75,2594,5188.0
M,173.0,173.5,173.25,2565,5130.0
M,173.5,174.0,173.75,2953,5906.0
M,174.0,174.5,174.25,2954,5908.0
M,174.5,175.0,174.75,3270,6540.0
M,175.0,175.5,175.25,3252,6504.0
M,175.5,176.0,175.75,3551,7102.0
M,176.0,176.5,176.25,3503,7006.0
M,176.5,177.0,176.75,3982,7964.0
M,177.0,177.5,177.25,4388,8776.0
M,177.5,178.0,177.75,4920,9840.0
M,178.0,178.5,178.25,5304,10608.0
M,178.5,179.0,178.75,6049,12098.0
M,179.0,179.5,179.25,6190,12380.0
M,179.5,180.0,179.75,5655,11310.0
M,180.0,180.5,180.25,3433,6866.0
M,180.5,181.0,180.75,3199,6398.0
M,181.0,181.5,181.25,2998,5996.0
M,181.5,182.0,181.75,3030,6060.0
M,182.0,182.5,182.25,2973,5946.0
M,182.5,183.0,182.75,3080,6160.0
M,183.0,183.5,183.25,3145,6290.0
M,183.5,184.0,183.75,3354,6708.0
M,184.0,184.5,184.25,3397,6794.0
M,184.5,185.0,184.75,3722,7444.0
M,185.0,185.5,185.25,3379,6758.0
M,185.5,186.0,185.75,3599,7198.0
M,186.0,186.5,186.25,3569,7138.0
M,186.5,187.0,186.75,3730,7460.0
M,187.0,187.5,187.25,3808,7616.0
M,187.5,188.0,187.75,3952,7904.0
M,188.0,188.5,188.25,4218,8436.0
M,188.5,189.0,188.75,4477,8954.0
M,189.0,189.5,189.25,4691,9382.0
M,189.5,190.0,189.75,4666,9332.0
M,190.0,190.5,190.25,4015,8030.0
M,190.5,191.0,190.75,4198,8396.0
M,191.0,191.5,191.25,4304,8608.0
M,191.5,192.0,191.75,4366,8732.0
M,192.0,192.5,192.25,4458,8916.0
M,192.5,193.0,192.75,4682,9364.0
M,193.0,193.5,193.25,4852,9704.0
M,193.5,194.0,193.75,5170,10340.0
M,194.0,194.5,194.25,5546,11092.0
M,194.5,195.0,194.75,5500,11000.0
M,195.0,195.5,195.25,4840,9680.0
M,195.5,196.0,195.75,4892,9784.0
M,196.0,196.5,196.25,4867,9734.0
M,196.5,197.0,196.75,4901,9802.0
M,197.0,197.5,197.25,5071,10142.0
M,197.5,198.0,197.75,5276,10552.0
M,198.0,198.5,198.25,5333,10666.0
M,198.5,199.0,198.75,5814,11628.0
M,199.0,199.5,199.25,5823,11646.0
M,199.5,200.0,199.75,5694,11388.0
M,200.0,200.5,200.25,5095,10190.0
M,200.5,201.0,200.75,5162,10324.0
M,201.0,201.5,201.25,5143,10286.0
M,201.5,202.0,201.75,5401,10802.0
M,202.0,202.5,202.25,5343,10686.0
M,202.5,203.0,202.75,5597,11194.0
M,203.0,203.5,203.25,5803,11606.0
M,203.5,204.0,203.75,6109,12218.0
M,204.0,204.5,204.25,6250,12500.0
M,204.5,205.0,204.75,6403,12806.0
M,205.0,205.5,205.25,6075,12150.0
M,205.5,206.0,205.75,6579,13158.0
M,206.0,206.5,206.25,6536,13072.0
M,206.5,207.0,206.75,7032,14064.0
M,207.0,207.5,207.25,7168,14336.0
M,207.5,208.0,207.75,7559,15118.0
M,208.0,208.5,208.25,7974,15948.0
M,208.5,209.0,208.75,8428,16856.0
M,209.0,209.5,209.25,8793,17586.0
M,209.5,210.0,209.75,8768,17536.0
M,210.0,210.5,210.25,6778,13556.0
M,210.5,211.0,210.75,6397,12794.0
M,211.0,211.5,211.25,6293,12586.0
M,211.5,212.0,211.75,6160,12320.0
M,212.0,212.5,212.25,6205,12410.0
M,212.5,213.0,212.75,6237,12474.0
M,213.0,213.5,213.25,6390,12780.0
M,213.5,214.0,213.75,6440,12880.0
M,214.0,214.5,214.25,6521,13042.0
M,214.5,215.0,214.75,6816,13632.0
M,215.0,215.5,215.25,6320,12640.0
M,215.5,216.0,215.75,6610,13220.0
M,216.0,216.5,216.25,6609,13218.0
M,216.5,217.0,216.75,6786,13572.0
M,217.0,217.5,217.25,6745,13490.0
M,217.5,218.0,217.75,7122,14244.0
M,218.0,218.5,218.25,7224,14448.0
M,218.5,219.0,218.75,7403,14806.0
M,219.0,219.5,219.25,7507,15014.0
M,219.5,220.0,219.75,7493,14986.0
M,220.0,220.5,220.25,6966,13932.0
M,220.5,221.0,220.75,6828,13656.0
M,221.0,221.5,221.25,6824,13648.0
M,221.5,222.0,221.75,6873,13746.0
M,222.0,222.5,222.25,6984,13968.0
M,222.5,223.0,222.75,7399,14798.0
M,223.0,223.5,223.25,7489,14978.0
M,223.5,224.0,223.75,7713,15426.0
M,224.0,224.5,224.25,7812,15624.0
M,224.5,225.0,224.75,8123,16246.0
M,225.0,225.5,225.25,7286,14572.0
M,225.5,226.0,225.75,7443,14886.0
M,226.0,226.5,226.25,7337,14674.0
M,226.5,227.0,226.75,7596,15192.0
M,227.0,227.5,227.25,7750,15500.0
M,227.5,228.0,227.75,7784,15568.0
M,228.0,228.5,228.25,7786,15572.0
M,228.5,229.0,228.75,7884,15768.0
M,229.0,229.5,229.25,8176,16352.0
M,229.5,230.0,229.75,8275,16550.0
M,230.0,230.5,230.25,7755,15510.0
M,230.5,231.0,230.75,7652,15304.0
M,231.0,231.5,231.25,7711,15422.0
M,231.5,232.0,231.75,8070,16140.0
M,232.0,232.5,232.25,7908,15816.0
M,232.5,233.0,232.75,8083,16166.0
M,233.0,233.5,233.25,8278,16556.0
M,233.5,234.0,233.75,8292,16584.0
M,234.0,234.5,234.25,8695,17390.0
M,234.5,235.0,234.75,8821,17642.0
M,235.0,235.5,235.25,8876,17752.0
M,235.5,236.0,235.75,8828,17656.0
M,236.0,236.5,236.25,9519,19038.0
M,236.5,237.0,236.75,9252,18504.0
M,237.0,237.5,237.25,9646,19292.0
M,237.5,238.0,237.75,9923,19846.0
M,238.0,238.5,238.25,10076,20152.0
M,238.5,239.0,238.75,10737,21474.0
M,239.0,239.5,239.25,10704,21408.0
M,239.5,240.0,239.75,9809,19618.0
M,240.0,240.5,240.25,7495,14990.0
M,240.5,241.0,240.75,6946,13892.0
M,241.0,241.5,241.25,6678,13356.0
M,241.5,242.0,241.75,6320,12640.0
M,242.0,242.5,242.25,6182,12364.0
M,242.5,243.0,242.75,6107,12214.0
M,243.0,243.5,243.25,5941,11882.0
M,243.5,244.0,243.75,6042,12084.0
M,244.0,244.5,244.25,6027,12054.0
M,244.5,245.0,244.75,6188,12376.0
M,245.0,245.5,245.25,6054,12108.0
M,245.5,246.0,245.75,6072,12144.0
M,246.0,246.5,246.25,6216,12432.0
M,246.5,247.0,246.75,6307,12614.0
M,247.0,247.5,247.25,6225,12450.0
M,247.5,248.0,247.75,6306,12612.0
M,248.0,248.5,248.25,6335,12670.0
M,248.5,249.0,248.75,6462,12924.0
M,249.0,249.5,249.25,6560,13120.0
M,249.5,250.0,249.75,6553,13106.0
M,250.0,250.5,250.25,6156,12312.0
M,250.5,251.0,250.75,6416,12832.0
M,251.0,251.5,251.25,6185,12370.0
M,251.5,252.0,251.75,6339,12678.0
M,252.0,252.5,252.25,6461,12922.0
M,252.5,253.0,252.75,6268,12536.0
M,253.0,253.5,253.25,6433,12866.0
M,253.5,254.0,253.75,6546,13092.0
M,254.0,254.5,254.25,6584,13168.0
M,254.5,255.0,254.75,6512,13024.0
M,255.0,255.5,255.25,5940,11880.0
M,255.5,256.0,255.75,6015,12030.0
M,256.0,256.5,256.25,6013,12026.0
M,256.5,257.0,256.75,6016,12032.0
M,257.0,257.5,257.25,5972,11944.0
M,257.5,258.0,257.75,5974,11948.0
M,258.0,258.5,258.25,6005,12010.0
M,258.5,259.0,258.75,6047,12094.0
M,259.0,259.5,259.25,6055,12110.0
M,259.5,260.0,259.75,6012,12024.0
M,260.0,260.5,260.25,5631,11262.0
M,260.5,261.0,260.75,5630,11260.0
M,261.0,261.5,261.25,5679,11358.0
M,261.5,262.0,261.75,5678,11356.0
M,262.0,262.5,262.25,5435,10870.0
M,262.5,263.0,262.75,5456,10912.0
M,263.0,263.5,263.25,5457,10914.0
M,263.5,264.0,263.75,5703,11406.0
M,264.0,264.5,264.25,5654,11308.0
M,264.5,265.0,264.75,5614,11228.0
M,265.0,265.5,265.25,5497,10994.0
M,265.5,266.0,265.75,5712,11424.0
M,266.0,266.5,266.25,5620,11240.0
M,266.5,267.0,266.75,5705,11410.0
M,267.0,267.5,267.25,5623,11246.0
M,267.5,268.0,267.75,5496,10992.0
M,268.0,268.5,268.25,5479,10958.0
M,268.5,269.0,268.75,5669,11338.0
M,269.0,269.5,269.25,5587,11174.0
M,269.5,270.0,269.75,5537,11074.0
M,270.0,270.5,270.25,4848,9696.0
M,270.5,271.0,270.75,4740,9480.0
M,271.0,271.5,271.25,4757,9514.0
M,271.5,272.0,271.75,4684,9368.0
M,272.0,272.5,272.25,4605,9210.0
M,272.5,273.0,272.75,4488,8976.0
M,273.0,273.5,273.25,4542,9084.0
M,273.5,274.0,273.75,4633,9266.0
M,274.0,274.5,274.25,4565,9130.0
M,274.5,275.0,274.75,4575,9150.0
M,275.0,275.5,275.25,4424,8848.0
M,275.5,276.0,275.75,4393,8786.0
M,276.0,276.5,276.25,4471,8942.0
M,276.5,277.0,276.75,4520,9040.0
M,277.0,277.5,277.25,4265,8530.0
M,277.5,278.0,277.75,4444,8888.0
M,278.0,278.5,278.25,4320,8640.0
M,278.5,279.0,278.75,4453,8906.0
M,279.0,279.5,279.25,4445,8890.0
M,279.5,280.0,279.75,4458,8916.0
M,280.0,280.5,280.25,4091,8182.0
M,280.5,281.0,280.75,4141,8282.0
M,281.0,281.5,281.25,4135,8270.0
M,281.5,282.0,281.75,4040,8080.0
M,282.0,282.5,282.25,4168,8336.0
M,282.5,283.0,282.75,4141,8282.0
M,283.0,283.5,283.25,4051,8102.0
M,283.5,284.0,283.75,4064,8128.0
M,284.0,284.5,284.25,4262,8524.0
M,284.5,285.0,284.75,4109,8218.0
M,285.0,285.5,285.25,3863,7726.0
M,285.5,286.0,285.75,3783,7566.0
M,286.0,286.5,286.25,3776,7552.0
M,286.5,287.0,286.75,3731,7462.0
M,287.0,287.5,287.25,3805,7610.0
M,287.5,288.0,287.75,3537,7074.0
M,288.0,288.5,288.25,3662,7324.0
M,288.5,289.0,288.75,3743,7486.0
M,289.0,289.5,289.25,3686,7372.0
M,289.5,290.0,289.75,3619,7238.0
M,290.0,290.5,290.25,3608,7216.0
M,290.5,291.0,290.75,3736,7472.0
M,291.0,291.5,291.25,3545,7090.0
M,291.5,292.0,291.75,3574,7148.0
M,292.0,292.5,292.25,3546,7092.0
M,292.5,293.0,292.75,3560,7120.0
M,293.0,293.5,293.25,3591,7182.0
M,293.5,294.0,293.75,3544,7088.0
M,294.0,294.5,294.25,3490,6980.0
M,294.5,295.0,294.75,3649,7298.0
M,295.0,295.5,295.25,3673,7346.0
M,295.5,296.0,295.75,3575,7150.0
M,296.0,296.5,296.25,3669,7338.0
M,296.5,297.0,296.75,3724,7448.0
M,297.0,297.5,297.25,3565,7130.0
M,297.5,298.0,297.75,3438,6876.0
M,298.0,298.5,298.25,3514,7028.0
M,298.5,299.0,298.75,3332,6664.0
M,299.0,299.5,299.25,3348,6696.0
M,299.5,300.0,299.75,3102,6204.0
M,300.0,300.5,300.25,2662,5324.0
M,300.5,301.0,300.75,2731,5462.0
M,301.0,301.5,301.25,2524,5048.0
M,301.5,302.0,301.75,2579,5158.0
M,302.0,302.5,302.25,2475,4950.0
M,302.5,303.0,302.75,2486,4972.0
M,303.0,303.5,303.25,2395,4790.0
M,303.5,304.0,303.75,2334,4668.0
M,304.0,304.5,304.25,2476,4952.0
M,304.5,305.0,304.75,2436,4872.0
M,305.0,305.5,305.25,2327,4654.0
M,305.5,306.0,305.75,2396,4792.0
M,306.0,306.5,306.25,2310,4620.0
M,306.5,307.0,306.75,2348,4696.0
M,307.0,307.5,307.25,2262,4524.0
M,307.5,308.0,307.75,2257,4514.0
M,308.0,308.5,308.25,2380,4760.0
M,308.5,309.0,308.75,2220,4440.0
M,309.0,309.5,309.25,2205,4410.0
M,309.5,310.0,309.75,2266,4532.0
M,310.0,310.5,310.25,2202,4404.0
M,310.5,311.0,310.75,2072,4144.0
M,311.0,311.5,311.25,2243,4486.0
M,311.5,312.0,311.75,2129,4258.0
M,312.0,312.5,312.25,2084,4168.0
M,312.5,313.0,312.75,2139,4278.0
M,313.0,313.5,313.25,2081,4162.0
M,313.5,314.0,313.75,2088,4176.0
M,314.0,314.5,314.25,2108,4216.0
M,314.5,315.0,314.75,2033,4066.0
M,315.0,315.5,315.25,1971,3942.0
M,315.5,316.0,315.75,1940,3880.0
M,316.0,316.5,316.25,2027,4054.0
M,316.5,317.0,316.75,1896,3792.0
M,317.0,317.5,317.25,1944,3888.0
M,317.5,318.0,317.75,1968,3936.0
M,318.0,318.5,318.25,1939,3878.0
M,318.5,319.0,318.75,1876,3752.0
M,319.0,319.5,319.25,1838,3676.0
M,319.5,320.0,319.75,1824,3648.0
M,320.0,320.5,320.25,1790,3580.0
M,320.5,321.0,320.75,1880,3760.0
M,321.0,321.5,321.25,1773,3546.0
M,321.5,322.0,321.75,1794,3588.0
M,322.0,322.5,322.25,1785,3570.0
M,322.5,323.0,322.75,1733,3466.0
M,323.0,323.5,323.25,1821,3642.0
M,323.5,324.0,323.75,1733,3466.0
M,324.0,324.5,324.25,1669,3338.0
M,324.5,325.0,324.75,1703,3406.0
M,325.0,325.5,325.25,1688,3376.0
M,325.5,326.0,325.75,1663,3326.0
M,326.0,326.5,326.25,1627,3254.0
M,326.5,327.0,326.75,1676,3352.0
M,327.0,327.5,327.25,1601,3202.0
M,327.5,328.0,327.75,1585,3170.0
M,328.0,328.5,328.25,1549,3098.0
M,328.5,329.0,328.75,1608,3216.0
M,329.0,329.5,329.25,1612,3224.0
M,329.5,330.0,329.75,1608,3216.0
M,330.0,330.5,330.25,1448,2896.0
M,330.5,331.0,330.75,1401,2802.0
M,331.0,331.5,331.25,1467,2934.0
M,331.5,332.0,331.75,1371,2742.0
M,332.0,332.5,332.25,1332,2664.0
M,332.5,333.0,332.75,1388,2776.0
M,333.0,333.5,333.25,1355,2710.0
M,333.5,334.0,333.75,1350,2700.0
M,334.0,334.5,334.25,1342,2684.0
M,334.5,335.0,334.75,1299,2598.0
M,335.0,335.5,335.25,1290,2580.0
M,335.5,336.0,335.75,1329,2658.0
M,336.0,336.5,336.25,1313,2626.0
M,336.5,337.0,336.75,1236,2472.0
M,337.0,337.5,337.25,1246,2492.0
M,337.5,338.0,337.75,1138,2276.0
M,338.0,338.5,338.25,1187,2374.0
M,338.5,339.0,338.75,1155,2310.0
M,339.0,339.5,339.25,1124,2248.0
M,339.5,340.0,339.75,1141,2282.0
M,340.0,340.5,340.25,1095,2190.0
M,340.5,341.0,340.75,1067,2134.0
M,341.0,341.5,341.25,1045,2090.0
M,341.5,342.0,341.75,1095,2190.0
M,342.0,342.5,342.25,1125,2250.0
M,342.5,343.0,342.75,1054,2108.0
M,343.0,343.5,343.25,981,1962.0
M,343.5,344.0,343.75,1112,2224.0
M,344.0,344.5,344.25,1140,2280.0
M,344.5,345.0,344.75,1051,2102.0
M,345.0,345.5,345.25,1003,2006.0
M,345.5,346.0,345.75,969,1938.0
M,346.0,346.5,346.25,947,1894.0
M,346.5,347.0,346.75,989,1978.0
M,347.0,347.5,347.25,972,1944.0
M,347.5,348.0,347.75,944,1888.0
M,348.0,348.5,348.25,930,1860.0
M,348.5,349.0,348.75,921,1842.0
M,349.0,349.5,349.25,946,1892.0
M,349.5,350.0,349.75,957,1914.0
M,350.0,350.5,350.25,946,1892.0
M,350.5,351.0,350.75,905,1810.0
M,351.0,351.5,351.25,921,1842.0
M,351.5,352.0,351.75,928,1856.0
M,352.0,352.5,352.25,933,1866.0
M,352.5,353.0,352.75,840,1680.0
M,353.0,353.5,353.25,863,1726.0
M,353.5,354.0,353.75,826,1652.0
M,354.0,354.5,354.25,869,1738.0
M,354.5,355.0,354.75,780,1560.0
M,355.0,355.5,355.25,865,1730.0
M,355.5,356.0,355.75,850,1700.0
M,356.0,356.5,356.25,869,1738.0
M,356.5,357.0,356.75,812,1624.0
M,357.0,357.5,357.25,825,1650.0
M,357.5,358.0,357.75,804,1608.0
M,358.0,358.5,358.25,849,1698.0
M,358.5,359.0,358.75,741,1482.0
M,359.0,359.5,359.25,736,1472.0
M,359.5,360.0,359.75,762,1524.0
M,360.0,360.5,360.25,671,1342.0
M,360.5,361.0,360.75,639,1278.0
M,361.0,361.5,361.25,611,1222.0
M,361.5,362.0,361.75,619,1238.0
M,362.0,362.5,362.25,593,1186.0
M,362.5,363.0,362.75,623,1246.0
M,363.0,363.5,363.25,565,1130.0
M,363.5,364.0,363.75,516,1032.0
M,364.0,364.5,364.25,612,1224.0
M,364.5,365.0,364.75,578,1156.0
M,365.0,365.5,365.25,567,1134.0
M,365.5,366.0,365.75,524,1048.0
M,366.0,366.5,366.25,504,1008.0
M,366.5,367.0,366.75,561,1122.0
M,367.0,367.5,367.25,512,1024.0
M,367.5,368.0,367.75,492,984.0
M,368.0,368.5,368.25,546,1092.0
M,368.5,369.0,368.75,497,994.0
M,369.0,369.5,369.25,456,912.0
M,369.5,370.0,369.75,472,944.0
M,370.0,370.5,370.25,481,962.0
M,370.5,371.0,370.75,481,962.0
M,371.0,371.5,371.25,429,858.0
M,371.5,372.0,371.75,419,838.0
M,372.0,372.5,372.25,486,972.0
M,372.5,373.0,372.75,484,968.0
M,373.0,373.5,373.25,429,858.0
M,373.5,374.0,373.75,431,862.0
M,374.0,374.5,374.25,400,800.0
M,374.5,375.0,374.75,432,864.0
M,375.0,375.5,375.25,432,864.0
M,375.5,376.0,375.75,431,862.0
M,376.0,376.5,376.25,390,780.0
M,376.5,377.0,376.75,419,838.0
M,377.0,377.5,377.25,398,796.0
M,377.5,378.0,377.75,371,742.0
M,378.0,378.5,378.25,382,764.0
M,378.5,379.0,378.75,417,834.0
M,379.0,379.5,379.25,374,748.0
M,379.5,380.0,379.75,400,800.0
M,380.0,380.5,380.25,362,724.0
M,380.5,381.0,380.75,380,760.0
M,381.0,381.5,381.25,364,728.0
M,381.5,382.0,381.75,345,690.0
M,382.0,382.5,382.25,357,714.0
M,382.5,383.0,382.75,368,736.0
M,383.0,383.5,383.25,334,668.0
M,383.5,384.0,383.75,350,700.0
M,384.0,384.5,384.25,325,650.0
M,384.5,385.0,384.75,316,632.0
M,385.0,385.5,385.25,295,590.0
M,385.5,386.0,385.75,312,624.0
M,386.0,386.5,386.25,289,578.0
M,386.5,387.0,386.75,315,630.0
M,387.0,387.5,387.25,279,558.0
M,387.5,388.0,387.75,327,654.0
M,388.0,388.5,388.25,329,658.0
M,388.5,389.0,388.75,286,572.0
M,389.0,389.5,389.25,296,592.0
M,389.5,390.0,389.75,301,602.0
M,390.0,390.5,390.25,251,502.0
M,390.5,391.0,390.75,258,516.0
M,391.0,391.5,391.25,268,536.0
M,391.5,392.0,391.75,239,478.0
M,392.0,392.5,392.25,270,540.0
M,392.5,393.0,392.75,234,468.0
M,393.0,393.5,393.25,240,480.0
M,393.5,394.0,393.75,238,476.0
M,394.0,394.5,394.25,229,458.0
M,394.5,395.0,394.75,204,408.0
M,395.0,395.5,395.25,218,436.0
M,395.5,396.0,395.75,225,450.0
M,396.0,396.5,396.25,241,482.0
M,396.5,397.0,396.75,243,486.0
M,397.0,397.5,397.25,199,398.0
M,397.5,398.0,397.75,230,460.0
M,398.0,398.5,398.25,196,392.0
M,398.5,399.0,398.75,216,432.0
M,399.0,399.5,399.25,204,408.0
M,399.5,400.0,399.75,213,426.0
M,400.0,400.5,400.25,206,412.0
M,400.5,401.0,400.75,183,366.0
M,401.0,401.5,401.25,196,392.0
M,401.5,402.0,401.75,187,374.0
M,402.0,402.5,402.25,162,324.0
M,402.5,403.0,402.75,175,350.0
M,403.0,403.5,403.25,169,338.0
M,403.5,404.0,403.75,187,374.0
M,404.0,404.5,404.25,171,342.0
M,404.5,405.0,404.75,181,362.0
M,405.0,405.5,405.25,147,294.0
M,405.5,406.0,405.75,155,310.0
M,406.0,406.5,406.25,176,352.0
M,406.5,407.0,406.75,137,274.0
M,407.0,407.5,407.25,130,260.0
M,407.5,408.0,407.75,141,282.0
M,408.0,408.5,408.25,167,334.0
M,408.5,409.0,408.75,153,306.0
M,409.0,409.5,409.25,144,288.0
M,409.5,410.0,409.75,152,304.0
M,410.0,410.5,410.25,139,278.0
M,410.5,411.0,410.75,142,284.0
M,411.0,411.5,411.25,142,284.0
M,411.5,412.0,411.75,139,278.0
M,412.0,412.5,412.25,136,272.0
M,412.5,413.0,412.75,124,248.0
M,413.0,413.5,413.25,111,222.0
M,413.5,414.0,413.75,134,268.0
M,414.0,414.5,414.25,118,236.0
M,414.5,415.0,414.75,113,226.0
M,415.0,415.5,415.25,120,240.0
M,415.5,416.0,415.75,123,246.0
M,416.0,416.5,416.25,115,230.0
M,416.5,417.0,416.75,121,242.0
M,417.0,417.5,417.25,97,194.0
M,417.5,418.0,417.75,106,212.0
M,418.0,418.5,418.25,99,198.0
M,418.5,419.0,418.75,100,200.0
M,419.0,419.5,419.25,106,212.0
M,419.5,420.0,419.75,120,240.0
