sex,bin_lo_min,bin_hi_min,bin_mid_min,n,density_per_min
F,198.0,198.5,198.25,1067,2134.0
F,198.5,199.0,198.75,1128,2256.0
F,199.0,199.5,199.25,1146,2292.0
F,199.5,200.0,199.75,1116,2232.0
F,200.0,200.5,200.25,1048,2096.0
F,200.5,201.0,200.75,1142,2284.0
F,201.0,201.5,201.25,1128,2256.0
F,201.5,202.0,201.75,1158,2316.0
F,202.0,202.5,202.25,1221,2442.0
F,202.5,203.0,202.75,1259,2518.0
F,203.0,203.5,203.25,1258,2516.0
F,203.5,204.0,203.75,1382,2764.0
F,204.0,204.5,204.25,1335,2670.0
F,204.5,205.0,204.75,1381,2762.0
F,205.0,205.5,205.25,1400,2800.0
F,205.5,206.0,205.75,1419,2838.0
F,206.0,206.5,206.25,1471,2942.0
F,206.5,207.0,206.75,1552,3104.0
F,207.0,207.5,207.25,1520,3040.0
F,207.5,208.0,207.75,1641,3282.0
F,208.0,208.5,208.25,1710,3420.0
F,208.5,209.0,208.75,1806,3612.0
F,209.0,209.5,209.25,1846,3692.0
F,209.5,210.0,209.75,1768,3536.0
F,210.0,210.5,210.25,1621,3242.0
F,210.5,211.0,210.75,1615,3230.0
F,211.0,211.5,211.25,1659,3318.0
F,211.5,212.0,211.75,1674,3348.0
F,212.0,212.5,212.25,1652,3304.0
F,212.5,213.0,212.75,1678,3356.0
F,213.0,213.5,213.25,1630,3260.0
F,213.5,214.0,213.75,1718,3436.0
F,214.0,214.5,214.25,1800,3600.0
F,214.5,215.0,214.75,1769,3538.0
F,215.0,215.5,215.25,1790,3580.0
F,215.5,216.0,215.75,1798,3596.0
F,216.0,216.5,216.25,1924,3848.0
F,216.5,217.0,216.75,1849,3698.0
F,217.0,217.5,217.25,1923,3846.0
F,217.5,218.0,217.75,1964,3928.0
F,218.0,218.5,218.25,1967,3934.0
F,218.5,219.0,218.75,2052,4104.0
F,219.0,219.5,219.25,2117,4234.0
F,219.5,220.0,219.75,2127,4254.0
F,220.0,220.5,220.25,1935,3870.0
F,220.5,221.0,220.75,1969,3938.0
F,221.0,221.5,221.25,2089,4178.0
F,221.5,222.0,221.75,2101,4202.0
F,222.0,222.5,222.25,2076,4152.0
F,222.5,223.0,222.75,2246,4492.0
F,223.0,223.5,223.25,2196,4392.0
F,223.5,224.0,223.75,2303,4606.0
F,224.0,224.5,224.25,2408,4816.0
F,224.5,225.0,224.75,2401,4802.0
F,225.0,225.5,225.25,2370,4740.0
F,225.5,226.0,225.75,2307,4614.0
F,226.0,226.5,226.25,2453,4906.0
F,226.5,227.0,226.75,2359,4718.0
F,227.0,227.5,227.25,2541,5082.0
F,227.5,228.0,227.75,2496,4992.0
F,228.0,228.5,228.25,2576,5152.0
F,228.5,229.0,228.75,2607,5214.0
F,229.0,229.5,229.25,2702,5404.0
F,229.5,230.0,229.75,2727,5454.0
F,230.0,230.5,230.25,2614,5228.0
F,230.5,231.0,230.75,2584,5168.0
F,231.0,231.5,231.25,2689,5378.0
F,231.5,232.0,231.75,2678,5356.0
F,232.0,232.5,232.25,2685,5370.0
F,232.5,233.0,232.75,2757,5514.0
F,233.0,233.5,233.25,2717,5434.0
F,233.5,234.0,233.75,2979,5958.0
F,234.0,234.5,234.25,2927,5854.0
F,234.5,235.0,234.75,3108,6216.0
F,235.0,235.5,235.25,3033,6066.0
F,235.5,236.0,235.75,3228,6456.0
F,236.0,236.5,236.25,3245,6490.0
F,236.5,237.0,236.75,3422,6844.0
F,237.0,237.5,237.25,3437,6874.0
F,237.5,238.0,237.75,3605,7210.0
F,238.0,238.5,238.25,3689,7378.0
F,238.5,239.0,238.75,3915,7830.0
F,239.0,239.5,239.25,3701,7402.0
F,239.5,240.0,239.75,3464,6928.0
F,240.0,240.5,240.25,2995,5990.0
F,240.5,241.0,240.75,2902,5804.0
F,241.0,241.5,241.25,2924,5848.0
F,241.5,242.0,241.75,2725,5450.0
F,242.0,242.5,242.25,2687,5374.0
F,242.5,243.0,242.75,2771,5542.0
F,243.0,243.5,243.25,2740,5480.0
F,243.5,244.0,243.75,2751,5502.0
F,244.0,244.5,244.25,2853,5706.0
F,244.5,245.0,244.75,2668,5336.0
F,245.0,245.5,245.25,2779,5558.0
F,245.5,246.0,245.75,2730,5460.0
F,246.0,246.5,246.25,2843,5686.0
F,246.5,247.0,246.75,2847,5694.0
F,247.0,247.5,247.25,2863,5726.0
F,247.5,248.0,247.75,2857,5714.0
F,248.0,248.5,248.25,2796,5592.0
F,248.5,249.0,248.75,2988,5976.0
F,249.0,249.5,249.25,2972,5944.0
F,249.5,250.0,249.75,2907,5814.0
F,250.0,250.5,250.25,2847,5694.0
F,250.5,251.0,250.75,3017,6034.0
F,251.0,251.5,251.25,2912,5824.0
F,251.5,252.0,251.75,2871,5742.0
F,252.0,252.5,252.25,2950,5900.0
F,252.5,253.0,252.75,3022,6044.0
F,253.0,253.5,253.25,3013,6026.0
F,253.5,254.0,253.75,3056,6112.0
F,254.0,254.5,254.25,3173,6346.0
F,254.5,255.0,254.75,3208,6416.0
F,255.0,255.5,255.25,2975,5950.0
F,255.5,256.0,255.75,3017,6034.0
F,256.0,256.5,256.25,3051,6102.0
F,256.5,257.0,256.75,3069,6138.0
F,257.0,257.5,257.25,3070,6140.0
F,257.5,258.0,257.75,3090,6180.0
F,258.0,258.5,258.25,3018,6036.0
F,258.5,259.0,258.75,2984,5968.0
F,259.0,259.5,259.25,3115,6230.0
F,259.5,260.0,259.75,3173,6346.0
F,260.0,260.5,260.25,3041,6082.0
F,260.5,261.0,260.75,2999,5998.0
F,261.0,261.5,261.25,3022,6044.0
F,261.5,262.0,261.75,3040,6080.0
F,262.0,262.5,262.25,3038,6076.0
F,262.5,263.0,262.75,3012,6024.0
F,263.0,263.5,263.25,3068,6136.0
F,263.5,264.0,263.75,3131,6262.0
F,264.0,264.5,264.25,3224,6448.0
F,264.5,265.0,264.75,3092,6184.0
F,265.0,265.5,265.25,3110,6220.0
F,265.5,266.0,265.75,3087,6174.0
F,266.0,266.5,266.25,3126,6252.0
F,266.5,267.0,266.75,3262,6524.0
F,267.0,267.5,267.25,3290,6580.0
F,267.5,268.0,267.75,3293,6586.0
F,268.0,268.5,268.25,3327,6654.0
F,268.5,269.0,268.75,3434,6868.0
F,269.0,269.5,269.25,3379,6758.0
F,269.5,270.0,269.75,3307,6614.0
F,270.0,270.5,270.25,3043,6086.0
F,270.5,271.0,270.75,3064,6128.0
F,271.0,271.5,271.25,2986,5972.0
F,271.5,272.0,271.75,2928,5856.0
F,272.0,272.5,272.25,2864,5728.0
F,272.5,273.0,272.75,2886,5772.0
F,273.0,273.5,273.25,2885,5770.0
F,273.5,274.0,273.75,2949,5898.0
F,274.0,274.5,274.25,2877,5754.0
F,274.5,275.0,274.75,2925,5850.0
F,275.0,275.5,275.25,2827,5654.0
F,275.5,276.0,275.75,2878,5756.0
F,276.0,276.5,276.25,2975,5950.0
F,276.5,277.0,276.75,2958,5916.0
F,277.0,277.5,277.25,2754,5508.0
F,277.5,278.0,277.75,2707,5414.0
F,278.0,278.5,278.25,2829,5658.0
F,278.5,279.0,278.75,2923,5846.0
F,279.0,279.5,279.25,2868,5736.0
F,279.5,280.0,279.75,2872,5744.0
F,280.0,280.5,280.25,2691,5382.0
F,280.5,281.0,280.75,2769,5538.0
F,281.0,281.5,281.25,2662,5324.0
F,281.5,282.0,281.75,2715,5430.0
F,282.0,282.5,282.25,2751,5502.0
F,282.5,283.0,282.75,2758,5516.0
F,283.0,283.5,283.25,2797,5594.0
F,283.5,284.0,283.75,2741,5482.0
F,284.0,284.5,284.25,2721,5442.0
F,284.5,285.0,284.75,2715,5430.0
F,285.0,285.5,285.25,2671,5342.0
F,285.5,286.0,285.75,2644,5288.0
F,286.0,286.5,286.25,2590,5180.0
F,286.5,287.0,286.75,2562,5124.0
F,287.0,287.5,287.25,2671,5342.0
F,287.5,288.0,287.75,2713,5426.0
F,288.0,288.5,288.25,2550,5100.0
F,288.5,289.0,288.75,2595,5190.0
F,289.0,289.5,289.25,2659,5318.0
F,289.5,290.0,289.75,2527,5054.0
F,290.0,290.5,290.25,2584,5168.0
F,290.5,291.0,290.75,2473,4946.0
F,291.0,291.5,291.25,2432,4864.0
F,291.5,292.0,291.75,2523,5046.0
F,292.0,292.5,292.25,2588,5176.0
F,292.5,293.0,292.75,2491,4982.0
F,293.0,293.5,293.25,2661,5322.0
F,293.5,294.0,293.75,2502,5004.0
F,294.0,294.5,294.25,2487,4974.0
F,294.5,295.0,294.75,2555,5110.0
F,295.0,295.5,295.25,2585,5170.0
F,295.5,296.0,295.75,2674,5348.0
F,296.0,296.5,296.25,2521,5042.0
F,296.5,297.0,296.75,2540,5080.0
F,297.0,297.5,297.25,2462,4924.0
F,297.5,298.0,297.75,2598,5196.0
F,298.0,298.5,298.25,2623,5246.0
F,298.5,299.0,298.75,2544,5088.0
F,299.0,299.5,299.25,2541,5082.0
F,299.5,300.0,299.75,2390,4780.0
F,300.0,300.5,300.25,2273,4546.0
F,300.5,301.0,300.75,2202,4404.0
F,301.0,301.5,301.25,2059,4118.0
F,301.5,302.0,301.75,2205,4410.0
F,302.0,302.5,302.25,2049,4098.0
F,302.5,303.0,302.75,2001,4002.0
F,303.0,303.5,303.25,1929,3858.0
F,303.5,304.0,303.75,2036,4072.0
F,304.0,304.5,304.25,1943,3886.0
F,304.5,305.0,304.75,1923,3846.0
F,305.0,305.5,305.25,1915,3830.0
F,305.5,306.0,305.75,1989,3978.0
F,306.0,306.5,306.25,1878,3756.0
F,306.5,307.0,306.75,1881,3762.0
F,307.0,307.5,307.25,1854,3708.0
F,307.5,308.0,307.75,1863,3726.0
F,308.0,308.5,308.25,1953,3906.0
F,308.5,309.0,308.75,1908,3816.0
F,309.0,309.5,309.25,1879,3758.0
F,309.5,310.0,309.75,1942,3884.0
F,310.0,310.5,310.25,1864,3728.0
F,310.5,311.0,310.75,1785,3570.0
F,311.0,311.5,311.25,1843,3686.0
F,311.5,312.0,311.75,1804,3608.0
F,312.0,312.5,312.25,1829,3658.0
F,312.5,313.0,312.75,1881,3762.0
F,313.0,313.5,313.25,1745,3490.0
F,313.5,314.0,313.75,1708,3416.0
F,314.0,314.5,314.25,1794,3588.0
F,314.5,315.0,314.75,1738,3476.0
F,315.0,315.5,315.25,1705,3410.0
F,315.5,316.0,315.75,1679,3358.0
F,316.0,316.5,316.25,1695,3390.0
F,316.5,317.0,316.75,1684,3368.0
F,317.0,317.5,317.25,1681,3362.0
F,317.5,318.0,317.75,1671,3342.0
F,318.0,318.5,318.25,1671,3342.0
F,318.5,319.0,318.75,1633,3266.0
F,319.0,319.5,319.25,1644,3288.0
F,319.5,320.0,319.75,1623,3246.0
F,320.0,320.5,320.25,1589,3178.0
F,320.5,321.0,320.75,1622,3244.0
F,321.0,321.5,321.25,1591,3182.0
F,321.5,322.0,321.75,1602,3204.0
F,322.0,322.5,322.25,1531,3062.0
F,322.5,323.0,322.75,1634,3268.0
F,323.0,323.5,323.25,1570,3140.0
F,323.5,324.0,323.75,1652,3304.0
F,324.0,324.5,324.25,1573,3146.0
F,324.5,325.0,324.75,1484,2968.0
F,325.0,325.5,325.25,1558,3116.0
F,325.5,326.0,325.75,1505,3010.0
F,326.0,326.5,326.25,1473,2946.0
F,326.5,327.0,326.75,1494,2988.0
F,327.0,327.5,327.25,1490,2980.0
F,327.5,328.0,327.75,1544,3088.0
F,328.0,328.5,328.25,1543,3086.0
F,328.5,329.0,328.75,1536,3072.0
F,329.0,329.5,329.25,1529,3058.0
F,329.5,330.0,329.75,1438,2876.0
F,330.0,330.5,330.25,1453,2906.0
F,330.5,331.0,330.75,1385,2770.0
F,331.0,331.5,331.25,1343,2686.0
F,331.5,332.0,331.75,1382,2764.0
F,332.0,332.5,332.25,1289,2578.0
F,332.5,333.0,332.75,1325,2650.0
F,333.0,333.5,333.25,1273,2546.0
F,333.5,334.0,333.75,1283,2566.0
F,334.0,334.5,334.25,1287,2574.0
F,334.5,335.0,334.75,1292,2584.0
F,335.0,335.5,335.25,1310,2620.0
F,335.5,336.0,335.75,1324,2648.0
F,336.0,336.5,336.25,1322,2644.0
F,336.5,337.0,336.75,1223,2446.0
F,337.0,337.5,337.25,1273,2546.0
F,337.5,338.0,337.75,1226,2452.0
F,338.0,338.5,338.25,1216,2432.0
F,338.5,339.0,338.75,1272,2544.0
F,339.0,339.5,339.25,1224,2448.0
F,339.5,340.0,339.75,1208,2416.0
F,340.0,340.5,340.25,1222,2444.0
F,340.5,341.0,340.75,1178,2356.0
F,341.0,341.5,341.25,1144,2288.0
F,341.5,342.0,341.75,1156,2312.0
F,342.0,342.5,342.25,1170,2340.0
F,342.5,343.0,342.75,1291,2582.0
F,343.0,343.5,343.25,1164,2328.0
F,343.5,344.0,343.75,1128,2256.0
F,344.0,344.5,344.25,1131,2262.0
F,344.5,345.0,344.75,1094,2188.0
F,345.0,345.5,345.25,1138,2276.0
F,345.5,346.0,345.75,1039,2078.0
F,346.0,346.5,346.25,1078,2156.0
F,346.5,347.0,346.75,1081,2162.0
F,347.0,347.5,347.25,1061,2122.0
F,347.5,348.0,347.75,1091,2182.0
F,348.0,348.5,348.25,1028,2056.0
F,348.5,349.0,348.75,1033,2066.0
F,349.0,349.5,349.25,1026,2052.0
F,349.5,350.0,349.75,1011,2022.0
F,350.0,350.5,350.25,1009,2018.0
F,350.5,351.0,350.75,973,1946.0
F,351.0,351.5,351.25,1012,2024.0
F,351.5,352.0,351.75,983,1966.0
F,352.0,352.5,352.25,978,1956.0
F,352.5,353.0,352.75,923,1846.0
F,353.0,353.5,353.25,974,1948.0
F,353.5,354.0,353.75,970,1940.0
F,354.0,354.5,354.25,968,1936.0
F,354.5,355.0,354.75,957,1914.0
F,355.0,355.5,355.25,988,1976.0
F,355.5,356.0,355.75,924,1848.0
F,356.0,356.5,356.25,907,1814.0
F,356.5,357.0,356.75,885,1770.0
F,357.0,357.5,357.25,905,1810.0
F,357.5,358.0,357.75,912,1824.0
F,358.0,358.5,358.25,888,1776.0
F,358.5,359.0,358.75,861,1722.0
F,359.0,359.5,359.25,899,1798.0
F,359.5,360.0,359.75,865,1730.0
F,360.0,360.5,360.25,829,1658.0
F,360.5,361.0,360.75,779,1558.0
F,361.0,361.5,361.25,780,1560.0
F,361.5,362.0,361.75,745,1490.0
F,362.0,362.5,362.25,769,1538.0
F,362.5,363.0,362.75,721,1442.0
F,363.0,363.5,363.25,715,1430.0
F,363.5,364.0,363.75,734,1468.0
F,364.0,364.5,364.25,698,1396.0
F,364.5,365.0,364.75,684,1368.0
F,365.0,365.5,365.25,709,1418.0
F,365.5,366.0,365.75,711,1422.0
F,366.0,366.5,366.25,660,1320.0
F,366.5,367.0,366.75,686,1372.0
F,367.0,367.5,367.25,628,1256.0
F,367.5,368.0,367.75,623,1246.0
F,368.0,368.5,368.25,642,1284.0
F,368.5,369.0,368.75,612,1224.0
F,369.0,369.5,369.25,608,1216.0
F,369.5,370.0,369.75,601,1202.0
F,370.0,370.5,370.25,621,1242.0
F,370.5,371.0,370.75,630,1260.0
F,371.0,371.5,371.25,623,1246.0
F,371.5,372.0,371.75,602,1204.0
F,372.0,372.5,372.25,581,1162.0
F,372.5,373.0,372.75,583,1166.0
F,373.0,373.5,373.25,551,1102.0
F,373.5,374.0,373.75,604,1208.0
F,374.0,374.5,374.25,597,1194.0
F,374.5,375.0,374.75,567,1134.0
F,375.0,375.5,375.25,538,1076.0
F,375.5,376.0,375.75,537,1074.0
F,376.0,376.5,376.25,546,1092.0
F,376.5,377.0,376.75,503,1006.0
F,377.0,377.5,377.25,504,1008.0
F,377.5,378.0,377.75,485,970.0
F,378.0,378.5,378.25,455,910.0
F,378.5,379.0,378.75,518,1036.0
F,379.0,379.5,379.25,518,1036.0
F,379.5,380.0,379.75,466,932.0
F,380.0,380.5,380.25,496,992.0
F,380.5,381.0,380.75,509,1018.0
F,381.0,381.5,381.25,519,1038.0
F,381.5,382.0,381.75,456,912.0
F,382.0,382.5,382.25,457,914.0
F,382.5,383.0,382.75,469,938.0
F,383.0,383.5,383.25,419,838.0
F,383.5,384.0,383.75,432,864.0
F,384.0,384.5,384.25,469,938.0
