bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
182.0,182.5,182.25,3307,334,2973,0,6614.0
182.5,183.0,182.75,3424,344,3080,0,6848.0
183.0,183.5,183.25,3542,397,3145,0,7084.0
183.5,184.0,183.75,3749,395,3354,0,7498.0
184.0,184.5,184.25,3834,437,3397,0,7668.0
184.5,185.0,184.75,4158,436,3722,0,8316.0
185.0,185.5,185.25,3793,414,3379,0,7586.0
185.5,186.0,185.75,4134,535,3599,0,8268.0
186.0,186.5,186.25,4069,500,3569,0,8138.0
186.5,187.0,186.75,4240,510,3730,0,8480.0
187.0,187.5,187.25,4360,552,3808,0,8720.0
187.5,188.0,187.75,4559,607,3952,0,9118.0
188.0,188.5,188.25,4842,624,4218,0,9684.0
188.5,189.0,188.75,5114,637,4477,0,10228.0
189.0,189.5,189.25,5326,635,4691,0,10652.0
189.5,190.0,189.75,5356,690,4666,0,10712.0
190.0,190.5,190.25,4613,598,4015,0,9226.0
190.5,191.0,190.75,4887,689,4198,0,9774.0
191.0,191.5,191.25,5023,719,4304,0,10046.0
191.5,192.0,191.75,5100,734,4366,0,10200.0
192.0,192.5,192.25,5193,735,4458,0,10386.0
192.5,193.0,192.75,5484,802,4682,0,10968.0
193.0,193.5,193.25,5742,890,4852,0,11484.0
193.5,194.0,193.75,6065,895,5170,0,12130.0
194.0,194.5,194.25,6443,897,5546,0,12886.0
194.5,195.0,194.75,6370,870,5500,0,12740.0
195.0,195.5,195.25,5701,861,4840,0,11402.0
195.5,196.0,195.75,5835,943,4892,0,11670.0
196.0,196.5,196.25,5771,904,4867,0,11542.0
196.5,197.0,196.75,5840,939,4901,0,11680.0
197.0,197.5,197.25,6085,1014,5071,0,12170.0
197.5,198.0,197.75,6295,1019,5276,0,12590.0
198.0,198.5,198.25,6400,1067,5333,0,12800.0
198.5,199.0,198.75,6942,1128,5814,0,13884.0
199.0,199.5,199.25,6969,1146,5823,0,13938.0
199.5,200.0,199.75,6810,1116,5694,0,13620.0
200.0,200.5,200.25,6143,1048,5095,0,12286.0
200.5,201.0,200.75,6304,1142,5162,0,12608.0
201.0,201.5,201.25,6271,1128,5143,0,12542.0
201.5,202.0,201.75,6559,1158,5401,0,13118.0
202.0,202.5,202.25,6564,1221,5343,0,13128.0
202.5,203.0,202.75,6856,1259,5597,0,13712.0
203.0,203.5,203.25,7061,1258,5803,0,14122.0
203.5,204.0,203.75,7491,1382,6109,0,14982.0
204.0,204.5,204.25,7585,1335,6250,0,15170.0
204.5,205.0,204.75,7784,1381,6403,0,15568.0
205.0,205.5,205.25,7475,1400,6075,0,14950.0
205.5,206.0,205.75,7998,1419,6579,0,15996.0
206.0,206.5,206.25,8007,1471,6536,0,16014.0
206.5,207.0,206.75,8584,1552,7032,0,17168.0
207.0,207.5,207.25,8688,1520,7168,0,17376.0
207.5,208.0,207.75,9200,1641,7559,0,18400.0
