bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
371.0,371.5,371.25,1052,623,429,0,2104.0
371.5,372.0,371.75,1021,602,419,0,2042.0
372.0,372.5,372.25,1067,581,486,0,2134.0
372.5,373.0,372.75,1067,583,484,0,2134.0
373.0,373.5,373.25,980,551,429,0,1960.0
373.5,374.0,373.75,1035,604,431,0,2070.0
374.0,374.5,374.25,997,597,400,0,1994.0
374.5,375.0,374.75,999,567,432,0,1998.0
375.0,375.5,375.25,970,538,432,0,1940.0
375.5,376.0,375.75,968,537,431,0,1936.0
376.0,376.5,376.25,936,546,390,0,1872.0
376.5,377.0,376.75,922,503,419,0,1844.0
377.0,377.5,377.25,902,504,398,0,1804.0
377.5,378.0,377.75,856,485,371,0,1712.0
378.0,378.5,378.25,837,455,382,0,1674.0
378.5,379.0,378.75,935,518,417,0,1870.0
379.0,379.5,379.25,892,518,374,0,1784.0
379.5,380.0,379.75,866,466,400,0,1732.0
380.0,380.5,380.25,858,496,362,0,1716.0
380.5,381.0,380.75,889,509,380,0,1778.0
381.0,381.5,381.25,883,519,364,0,1766.0
381.5,382.0,381.75,801,456,345,0,1602.0
382.0,382.5,382.25,814,457,357,0,1628.0
382.5,383.0,382.75,837,469,368,0,1674.0
383.0,383.5,383.25,753,419,334,0,1506.0
383.5,384.0,383.75,782,432,350,0,1564.0
384.0,384.5,384.25,794,469,325,0,1588.0
384.5,385.0,384.75,721,405,316,0,1442.0
385.0,385.5,385.25,755,460,295,0,1510.0
385.5,386.0,385.75,750,438,312,0,1500.0
386.0,386.5,386.25,708,419,289,0,1416.0
386.5,387.0,386.75,693,378,315,0,1386.0
387.0,387.5,387.25,684,405,279,0,1368.0
387.5,388.0,387.75,763,436,327,0,1526.0
388.0,388.5,388.25,723,394,329,0,1446.0
388.5,389.0,388.75,709,423,286,0,1418.0
389.0,389.5,389.25,693,397,296,0,1386.0
389.5,390.0,389.75,690,389,301,0,1380.0
390.0,390.5,390.25,612,361,251,0,1224.0
390.5,391.0,390.75,658,400,258,0,1316.0
391.0,391.5,391.25,600,332,268,0,1200.0
391.5,392.0,391.75,607,368,239,0,1214.0
392.0,392.5,392.25,660,390,270,0,1320.0
392.5,393.0,392.75,602,368,234,0,1204.0
393.0,393.5,393.25,601,361,240,0,1202.0
393.5,394.0,393.75,596,358,238,0,1192.0
394.0,394.5,394.25,573,344,229,0,1146.0
394.5,395.0,394.75,524,320,204,0,1048.0
395.0,395.5,395.25,517,299,218,0,1034.0
395.5,396.0,395.75,545,320,225,0,1090.0
396.0,396.5,396.25,568,327,241,0,1136.0
396.5,397.0,396.75,579,336,243,0,1158.0
397.0,397.5,397.25,498,299,199,0,996.0
397.5,398.0,397.75,491,261,230,0,982.0
398.0,398.5,398.25,481,285,196,0,962.0
398.5,399.0,398.75,539,323,216,0,1078.0
399.0,399.5,399.25,472,268,204,0,944.0
399.5,400.0,399.75,490,277,213,0,980.0
400.0,400.5,400.25,476,270,206,0,952.0
400.5,401.0,400.75,479,296,183,0,958.0
401.0,401.5,401.25,456,260,196,0,912.0
401.5,402.0,401.75,441,254,187,0,882.0
402.0,402.5,402.25,417,255,162,0,834.0
402.5,403.0,402.75,401,226,175,0,802.0
403.0,403.5,403.25,413,244,169,0,826.0
403.5,404.0,403.75,433,246,187,0,866.0
404.0,404.5,404.25,411,240,171,0,822.0
404.5,405.0,404.75,415,234,181,0,830.0
405.0,405.5,405.25,406,259,147,0,812.0
405.5,406.0,405.75,373,218,155,0,746.0
406.0,406.5,406.25,426,250,176,0,852.0
406.5,407.0,406.75,387,250,137,0,774.0
407.0,407.5,407.25,367,237,130,0,734.0
407.5,408.0,407.75,360,219,141,0,720.0
408.0,408.5,408.25,400,233,167,0,800.0
408.5,409.0,408.75,382,229,153,0,764.0
409.0,409.5,409.25,361,217,144,0,722.0
409.5,410.0,409.75,374,222,152,0,748.0
410.0,410.5,410.25,361,222,139,0,722.0
410.5,411.0,410.75,343,201,142,0,686.0
411.0,411.5,411.25,330,188,142,0,660.0
411.5,412.0,411.75,353,214,139,0,706.0
412.0,412.5,412.25,332,196,136,0,664.0
412.5,413.0,412.75,298,174,124,0,596.0
413.0,413.5,413.25,314,203,111,0,628.0
413.5,414.0,413.75,315,181,134,0,630.0
414.0,414.5,414.25,301,183,118,0,602.0
414.5,415.0,414.75,288,175,113,0,576.0
415.0,415.5,415.25,283,163,120,0,566.0
415.5,416.0,415.75,294,171,123,0,588.0
416.0,416.5,416.25,288,173,115,0,576.0
416.5,417.0,416.75,290,169,121,0,580.0
417.0,417.5,417.25,267,170,97,0,534.0
417.5,418.0,417.75,267,161,106,0,534.0
418.0,418.5,418.25,264,165,99,0,528.0
418.5,419.0,418.75,263,163,100,0,526.0
419.0,419.5,419.25,306,200,106,0,612.0
419.5,420.0,419.75,293,173,120,0,586.0
