label,value,n_value
5.000,-5.284089180174378,3328159
10.000,-5.79642266646625,3328159
15.000,-4.929144684252595,3328159
20.000,-3.4457793536069814,3328159
25.000,-0.9337444678226725,3328159
30.000,1.1780639431616446,3328159
35.000,5.408601346297703,3328159
40.000,8.913786064235163,3328159
42.195,4.455085759141952,3328159
