sex,prior_blowup,n,htw_rate,major_slowdown_rate
F,False,102502,0.14512887553413592,0.21836647089812883
F,True,53489,0.3422385911121913,0.48179999626091347
M,False,337513,0.2427699081220575,0.2811921318586247
M,True,172794,0.4950403370487401,0.5645797886500689
