cohens_d,t,p,dof,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),lower_age,index,age_group
-0.264842364061991,-34.15670586142627,1.3412855042726024e-251,35323.507203474284,True,66033,20064,66033,20064,43.63204584576398,48.02822301967039,16.868167785292055,15.68151967207501,20,20,20-39
-0.34520892071077186,-25.320482804621893,7.978940068314609e-137,9258.806135861183,True,29605,6235,29605,6235,42.79529471373079,48.16419941192194,15.640925704074753,15.126265211302432,40,40,40-44
-0.35949051511161767,-25.608861328729414,1.627411338560641e-139,8701.934100439184,True,27730,5838,27730,5838,43.16385623272028,48.55408530318602,15.093004646158688,14.514918834751631,45,45,45-49
-0.289000497046574,-19.104000780797396,2.2327704585909004e-79,7102.3656150499755,True,22917,4644,22917,4644,44.47164113976524,48.84667671547517,15.36056710732158,13.990965164658276,50,50,50-54
-0.2719330519528926,-13.26878203755582,2.4490226812321744e-39,3919.051364482408,True,13729,2687,13729,2687,46.20765411416223,50.4314415084977,15.638183717689069,14.980421098767332,55,55,55-59
-0.1558875027703847,-7.387259779440913,1.8790755923693256e-13,3376.8878671480397,True,14799,2432,14799,2432,50.14800662206906,52.710697642543856,16.55188392066861,15.737069520221407,60,60,60+
