cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,1,0,1,0,28.48333333333332,,,,0.0,0.0,
,,,,4,1,4,1,45.3,27.43333333333331,12.25717476963322,,30.0,30.0,
,,,,1,0,1,0,57.66666666666666,,,,60.0,60.0,
-0.604958214474321,-0.604958214474321,0.6144738045244106,1.7431718608949944,2,2,2,2,35.83333333333333,42.5,12.963624321753379,8.650272956515442,90.0,90.0,False
0.007260064194629391,0.007492163873228877,0.9952226692373385,1.0084762062723602,252,2,252,2,29.87791005291005,29.766666666666666,15.296063867907552,20.95393094916137,120.0,120.0,False
-0.20032699604465068,-2.68693121160178,0.00784201571403756,192.52965918656693,6487,183,6487,183,32.16452905811623,35.00200364298725,14.166399378484,14.086137817909467,150.0,150.0,True
-0.1970473698746849,-6.686311694310914,3.0392449221717876e-11,1810.23827025947,23688,1644,23688,1644,34.08073637847574,36.62526358475264,12.750967587657314,15.060112067422715,180.0,180.0,True
-0.10540662009999127,-7.0131876447920485,2.554030635406834e-12,6804.436705190372,44503,5547,44503,5547,38.48717464740205,39.85579292109849,12.878229130642907,13.804916792407488,210.0,210.0,True
0.05093879476798194,4.589490992608336,4.4818416081287306e-06,14020.651590444286,44018,9377,44018,9377,43.432057718812004,42.77403220646262,13.001132396581088,12.520134521896857,240.0,240.0,True
0.2196540539393731,20.367374315884565,3.0194165947842715e-91,19135.983292511177,30729,10029,30729,10029,50.30489222992396,47.41469239206301,13.53679170000757,11.922428164905902,270.0,270.0,True
0.3012631112800435,22.002705639645985,9.47428232249093e-106,16237.049027921557,15048,7432,15048,7432,57.392861731348574,53.22319922856118,14.288016496574475,12.887146922272795,300.0,300.0,True
0.37547978518854713,20.503548703268187,1.0164383972662325e-91,11023.873388211086,6908,4627,6908,4627,64.23038747346072,58.855698436712046,15.306314194942017,12.689306539390422,330.0,330.0,True
0.4271166361970831,14.302349514477326,2.189260681358688e-45,4384.58410019211,2333,2072,2333,2072,70.50089298471211,63.852035070785064,16.832935131855525,14.004849656433324,360.0,360.0,True
0.39266495264942136,7.931235343327349,4.224783010409884e-15,1489.968283535095,823,785,823,785,75.7947549615229,68.80791932059446,20.3956513943598,14.574263162930357,390.0,390.0,True
0.4020719261097793,4.114514082292049,4.7129619413848835e-05,400.0815348338915,207,215,207,215,84.26425120772947,76.53224806201551,20.9779983646816,17.38294694840535,420.0,420.0,True
0.2179695868245908,1.218862936872077,0.22567886793191838,103.05685844842031,62,69,62,69,86.53978494623657,82.22077294685991,23.730352501079473,15.481302344104783,450.0,450.0,False
0.7184239551464241,2.2850995781340644,0.03117651276233262,24.681549313360428,22,28,22,28,109.7121212121212,83.50535714285716,51.58687519748306,17.19827609648043,480.0,480.0,False
0.5678203662028634,1.0292628155717138,0.327631810881887,9.989894221522002,5,7,5,7,103.32666666666668,91.88333333333334,16.026525755065517,22.487296825508373,510.0,510.0,False
0.13197880434943624,0.24327315799354526,0.8175213826260735,4.966839734239264,5,2,5,2,86.15999999999998,83.9,18.95567417248284,5.374011537017817,540.0,540.0,False
-0.018164336550091174,-0.014985984865762225,0.9901973866590182,1.1595099022618056,4,2,4,2,115.14999999999999,115.51666666666668,13.154656970062021,33.32829961992589,570.0,570.0,False
,,,,0,3,0,3,,68.15555555555555,,27.954061190407295,600.0,600.0,
,,,,0,1,0,1,,98.66666666666663,,,630.0,630.0,
