odds_ratio,chi2,p,dof,expected,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),years_from_pb,index
1.3333333333333333,0.0433333333333333,0.8350988866927067,1,"[[3.84615385 6.15384615]
 [1.15384615 1.84615385]]",False,10,3,4,1,0.4,0.3333333333333333,0.5163977794943223,0.5773502691896258,-21,-21
3.8666666666666667,3.9390962047212046,0.0471761168134513,1,"[[25.79104478 28.20895522]
 [ 6.20895522  6.79104478]]",False,54,13,29,3,0.5370370370370371,0.23076923076923078,0.5033084115062474,0.4385290096535146,-20,-20
1.888157894736842,0.9321058688147297,0.33431631359824354,1,"[[39.5 39.5]
 [ 5.5  5.5]]",False,79,11,41,4,0.5189873417721519,0.36363636363636365,0.502831966980225,0.504524979109513,-19,-19
2.35,2.0983224172021755,0.14746085131312425,1,"[[44.27906977 67.72093023]
 [ 6.72093023 10.27906977]]",False,112,17,47,4,0.41964285714285715,0.23529411764705882,0.49571847679586056,0.4372373160976031,-18,-18
7.9504950495049505,10.13147182506308,0.0014575897240706698,1,"[[ 65.90909091 108.09090909]
 [  9.09090909  14.90909091]]",True,174,24,73,2,0.41954022988505746,0.08333333333333333,0.4949079625908084,0.28232985128663995,-17,-17
3.7555555555555555,7.614035087719298,0.0057915740698712866,1,"[[ 84. 133.]
 [ 12.  19.]]",True,217,31,91,5,0.41935483870967744,0.16129032258064516,0.4945944357895451,0.373878250552983,-16,-16
2.4837662337662336,5.0616880266481985,0.024460402206725834,1,"[[ 83.60839161 160.39160839]
 [ 14.39160839  27.60839161]]",False,244,42,90,8,0.36885245901639346,0.19047619047619047,0.48348562389428595,0.39743661793163754,-15,-15
2.2350877192982455,6.7037945462415225,0.009620794963004596,1,"[[120.83333333 199.16666667]
 [ 24.16666667  39.83333333]]",True,320,64,130,15,0.40625,0.234375,0.49190149891975166,0.42695628191498325,-14,-14
1.6455652173913045,3.5392734181007794,0.059931708986768736,1,"[[158.51612903 257.48387097]
 [ 30.48387097  49.51612903]]",False,416,80,166,23,0.39903846153846156,0.2875,0.4902903378454601,0.4554522026083082,-13,-13
1.712529873677023,5.206529369513895,0.02250221046056618,1,"[[198.7862969 313.2137031]
 [ 39.2137031  61.7862969]]",False,512,101,209,29,0.408203125,0.2871287128712871,0.4919817882708823,0.45467864835213756,-12,-12
2.210970464135021,16.56125234975793,4.71036539823967e-05,1,"[[280.96726505 497.03273495]
 [ 61.03273495 107.96726505]]",True,778,169,304,38,0.390745501285347,0.22485207100591717,0.4882313411518693,0.4187255415868884,-11,-11
1.674637445005703,12.112928123541066,0.0005007344349536358,1,"[[401.300522 670.699478]
 [100.699478 168.300522]]",True,1072,269,426,76,0.39738805970149255,0.2825278810408922,0.4895859324130681,0.45106789144196047,-10,-10
1.5398623545891954,12.303336428725789,0.000452149316018167,1,"[[549.45333333 871.54666667]
 [146.54666667 232.45333333]]",True,1421,379,579,117,0.4074595355383533,0.3087071240105541,0.49153462540715315,0.4625706480884015,-9,-9
1.6521709272580563,22.823840320910357,1.775495588442244e-06,1,"[[ 726.61496881 1146.38503119]
 [ 206.38503119  325.61496881]]",True,1873,532,774,159,0.4132407901761879,0.29887218045112784,0.49254681564317326,0.45819453123371867,-8,-8
1.7877181508381812,50.04398826938702,1.5033768158039304e-12,1,"[[1014.95615514 1619.04384486]
 [ 356.04384486  567.95615514]]",True,2634,924,1105,266,0.41951404707668943,0.2878787878787879,0.4935731959928585,0.45301953399875006,-7,-7
1.7266590479432486,69.61470503448706,7.209738301679536e-17,1,"[[1432.10339077 2449.89660923]
 [ 558.89660923  956.10339077]]",True,3882,1515,1565,426,0.4031427099433282,0.2811881188118812,0.49059215699362396,0.4497275421965295,-6,-6
1.7216017482897654,99.88734805191301,1.6131648072904835e-23,1,"[[2187.21618053 3939.78381947]
 [ 786.78381947 1417.21618053]]",True,6127,2204,2380,594,0.3884445895217888,0.2695099818511797,0.4874363226262822,0.44380594634590387,-5,-5
1.7779306855949226,157.56967817331494,3.842988440801367e-36,1,"[[2912.78219912 6054.21780088]
 [1087.21780088 2259.78219912]]",True,8967,3347,3203,797,0.35719861715177875,0.23812369285927695,0.47920076562394653,0.4259988497185095,-4,-4
1.8138431783423044,343.1518962823638,1.3135688506150476e-76,1,"[[ 5926.29253452 12757.70746548]
 [ 2205.70746548  4748.29253452]]",True,18684,6954,6540,1592,0.3500321130378934,0.22893298820822547,0.4769924635054282,0.42017622862972,-3,-3
1.76479373819032,647.5337130582626,7.682127932042559e-143,1,"[[11892.75130723 26619.24869277]
 [ 4525.24869277 10128.75130723]]",True,38512,14654,13104,3314,0.3402575820523473,0.2261498566944179,0.4738018456627654,0.4183515774735151,-2,-2
1.7820649178523598,1174.7961773575548,1.8316450320444613e-257,1,"[[21846.55472457 51481.44527543]
 [ 7791.44527543 18360.55472457]]",True,73328,26152,24023,5615,0.3276101898319878,0.21470633221168553,0.4693450302834504,0.4106263150113045,-1,-1
1.8187168196997352,2908.547897839609,0.0,1,"[[ 43270.48001667 184451.51998333]
 [ 16914.51998333  72102.48001667]]",True,227722,89017,48623,11562,0.21351911541265228,0.12988530280732893,0.40979194745362246,0.3361790899601594,0,0
1.867319316641441,1534.4957644240658,0.0,1,"[[27364.21460824 41364.78539176]
 [ 9669.78539176 14617.21460824]]",True,68729,24287,29933,7101,0.43552212312124433,0.29237863877794706,0.49582878136537506,0.4548646935110018,1,1
1.632960964644133,513.4337066358725,1.13538534042469e-113,1,"[[14473.59062153 24420.40937847]
 [ 4937.40937847  8330.59062153]]",True,38894,13268,15563,3848,0.4001388388954595,0.2900211034066928,0.4899325667809222,0.45378891939321814,2,2
1.6788306213397628,349.5529655247771,5.302587827486271e-78,1,"[[ 8778.39130435 14192.60869565]
 [ 3078.60869565  4977.39130435]]",True,22971,8056,9480,2377,0.41269426668407994,0.2950595829195631,0.49232942310490363,0.45609784898208305,3,3
1.6815891024614353,200.1549077405341,1.9320912133903317e-45,1,"[[5033.57958417 7512.42041583]
 [1797.42041583 2682.57958417]]",True,12546,4480,5432,1399,0.43296668260800253,0.3122767857142857,0.49550590756308727,0.4634737781361603,4,4
1.6781962463351496,129.08121808498137,6.509932172258674e-30,1,"[[3388.79187628 4529.20812372]
 [1205.20812372 1610.79187628]]",True,7918,2816,3645,949,0.46034352109118465,0.3370028409090909,0.4984563598329394,0.4727698150666004,5,5
1.6881164480125597,96.61310793631185,8.428839741403397e-23,1,"[[2363.32040099 3218.67959901]
 [ 888.67959901 1210.32040099]]",True,5582,2099,2553,699,0.4573629523468291,0.3330157217722725,0.4982233949481945,0.4714044137436942,6,6
