cohens_d,t,p,dof,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),lower_age,index,age_group
0.22553084544156068,28.607225323488617,6.689925769201178e-178,34366.347487623345,True,66033,20064,66033,20064,0.38470149272989634,0.3507664958922178,0.15189128802681945,0.14568196200425304,20,20,20-39
0.22196200892913837,18.108631841579083,3.374103748395407e-72,10530.217755599488,True,29605,6235,29605,6235,0.3712434389304431,0.34315510797169513,0.13030796633071304,0.10688667109302381,40,40,40-44
0.23107741257735556,17.2860829485222,6.543257227443508e-66,9199.098780191534,True,27730,5838,27730,5838,0.36950585598386715,0.34091492098026077,0.12598771175531076,0.11237931664520148,45,45,45-49
0.20924088967545088,15.873199508103898,6.123487812333201e-56,8522.024160372346,True,22917,4644,22917,4644,0.3677578169385558,0.3394822601564416,0.1406692415289973,0.103567901957415,50,50,50-54
0.19442229588460322,10.901816836034858,2.4274189463775796e-27,4615.9431242005485,True,13729,2687,13729,2687,0.36577063113550684,0.34135163875790175,0.12988285923966408,0.10089321541967644,55,55,55-59
0.1997828648522206,9.815457627158697,1.8832650383874063e-22,3483.8758299457104,True,14799,2432,14799,2432,0.36504190110143003,0.3416446610269661,0.11865346121359928,0.10726240943493402,60,60,60+
