odds_ratio,chi2,p,dof,expected,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),lower_age,index,age_group
1.8109054208321,4161.111853105052,0.0,1,"[[ 58614.9422109 141305.0577891]
 [ 27482.0577891  66251.9422109]]",True,199920,93734,66033,20064,0.33029711884753904,0.2140525316320652,0.4703212078796019,0.4101656252733931,20,20,20-39
1.8471935557048629,1563.1714089946108,0.0,1,"[[26833.10036005 72146.89963995]
 [ 9006.89963995 24217.10036005]]",True,98980,33224,29605,6235,0.299100828450192,0.1876655429809776,0.45786640070092044,0.39045073384810036,40,40,40-44
1.8023043513732628,1348.6604884895023,3.011364067897241e-295,1,"[[25243.53007042 69050.46992958]
 [ 8324.46992958 22770.53007042]]",True,94294,31095,27730,5838,0.29408021719303457,0.1877472262421611,0.45563060110733067,0.3905164653455687,45,45,45-49
1.7088966643814745,874.1057282609449,4.178452361790514e-192,1,"[[21160.36597454 53974.63402546]
 [ 6400.63402546 16326.36597454]]",True,75135,22727,22917,4644,0.305010980235576,0.20433845206142473,0.4604151425843058,0.40322624316648176,50,50,50-54
1.7575198366955143,556.6728119754717,4.450390652395795e-123,1,"[[12665.38759521 29876.61240479]
 [ 3750.61240479  8847.38759521]]",True,42542,12598,13729,2687,0.3227163744064689,0.2132878234640419,0.467520752454416,0.409645515233014,55,55,55-59
1.8383266974156465,603.9522311631099,2.3129272238201453e-133,1,"[[13720.88919818 30333.11080182]
 [ 3510.11080182  7759.88919818]]",True,44054,11270,14799,2432,0.3359286330412675,0.2157941437444543,0.4723194368834607,0.4113903843197098,60,60,60+
