cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,1,0,1,0,0.17593164504838368,,,,0.0,0.0,
,,,,4,1,4,1,0.21997120128947917,0.12069218360463399,0.07056661249373371,,30.0,30.0,
,,,,1,0,1,0,0.24219515609687803,,,,60.0,60.0,
-0.5853499473595131,-0.5853499473595131,0.6304952060193674,1.589543304532528,2,2,2,2,0.1801673996311533,0.21076799267642682,0.06420036032903825,0.03666297690190913,90.0,90.0,False
-0.3580528803548434,-0.22941651587434142,0.8563404676411552,1.0032158190382634,252,2,252,2,0.18685471800247236,0.21262648169945825,0.07142138535815583,0.1587398130637727,120.0,120.0,False
-0.05883918303226326,-0.9063326052156524,0.3658716577872529,196.18090968131182,6487,183,6487,183,0.18436097748608368,0.188508045530399,0.07073522071857297,0.06074748549736728,150.0,150.0,False
-0.08800193999130236,-2.9686956689022095,0.003030003872295821,1807.938041152804,23688,1644,23688,1644,0.1799855368907114,0.18536898379680708,0.06036895870704906,0.07178621022002497,180.0,180.0,True
0.021964241741423748,1.5684702957635792,0.11681618157293186,7068.001787211916,44503,5547,44503,5547,0.18290475601635345,0.1816246320669564,0.058418040264215786,0.057180353733972546,210.0,210.0,False
0.16910040876276974,16.137196763934774,4.312013638990882e-58,14988.42510073671,44018,9377,44018,9377,0.19003407359250304,0.18063768407879377,0.056692248537239295,0.0499461472731481,240.0,240.0,True
0.3428854114506588,33.75890465924194,1.610672055362756e-243,21636.292779471147,30729,10029,30729,10029,0.2036895369796876,0.18460009461295201,0.05856421410583289,0.04568803620275157,270.0,270.0,True
0.39403003509714296,30.18692011126891,1.9951411866437326e-195,18402.204077319977,15048,7432,15048,7432,0.21503026889382704,0.19231933651662936,0.061773648458836095,0.04818717772315204,300.0,300.0,True
0.4188323833965138,23.356310302793005,6.731720940194439e-118,11417.70191883978,6908,4627,6908,4627,0.22365111589653244,0.19888519312999592,0.06533783440283189,0.04840397151694052,330.0,330.0,True
0.4446556029788125,14.94293453649445,2.8655723448645983e-49,4333.648027509676,2333,2072,2333,2072,0.22872216149630623,0.20085031782624257,0.06936393606461454,0.05418006749794099,360.0,360.0,True
0.4060446165048965,8.226511779680884,4.4222237707240365e-16,1374.624256315387,823,785,823,785,0.2306679469011225,0.2024894314000076,0.08320198186160342,0.051062478159133395,390.0,390.0,True
0.38748662045824844,3.968253759547008,8.55909666137945e-05,406.2967968047953,207,215,207,215,0.23659376834236664,0.21259819769237412,0.066387195222728,0.05730484328463482,420.0,420.0,True
0.2985774650170089,1.6616333768910954,0.09984892913775784,95.991491746692,62,69,62,69,0.22876779223532495,0.20932776062762976,0.08060636609094192,0.04704678038090204,450.0,450.0,False
0.8146074014226117,2.568535091117669,0.017077251960000882,23.30102158261044,22,28,22,28,0.2827807964144026,0.19210040739281067,0.1612497325008388,0.0425003014819431,480.0,480.0,False
0.6807723565923962,1.1386912238228066,0.2873931524993619,8.098439952097474,5,7,5,7,0.23524861403867234,0.1979362691644054,0.05849701915028995,0.0522055028542016,510.0,510.0,False
0.15623685187047248,0.2888529983176812,0.7843892034621535,4.954421904833402,5,2,5,2,0.18452627898872484,0.17785617055187752,0.04727785149740661,0.013129190771213025,540.0,540.0,False
-0.2658426685032509,-0.2439228388197401,0.8394999638800839,1.3308065554326873,4,2,4,2,0.22359370467565806,0.23473041101571618,0.03376818709132157,0.059990992123041924,570.0,570.0,False
,,,,0,3,0,3,,0.1281697028487082,,0.06095037666058163,600.0,600.0,
,,,,0,1,0,1,,0.17870079690895913,,,630.0,630.0,
