odds_ratio,chi2,p,dof,expected,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),pb_period
1.7413678603586091,417.73455233652857,7.595404008766601e-93,1,"[[ 8814.56470936 16089.43529064]
 [ 3150.43529064  5750.56470936]]",True,24904,8901,9606,2359,0.3857211692900739,0.26502640152791823,4-9_before
1.7794652882134068,2157.814076151056,0.0,1,"[[39671.72888201 90852.27111799]
 [14516.27111799 33243.72888201]]",True,130524,47760,43667,10521,0.33455150010726,0.2202889447236181,1-3_before
1.7613632590363009,2362.6113780546902,0.0,1,"[[50621.89715388 79972.10284612]
 [17680.10284612 27930.89715388]]",True,130594,45611,54976,13326,0.4209688040798199,0.2921663633772555,1-3_after
1.7107177309303092,574.9130054194673,4.79307173493964e-127,1,"[[14120.68808179 19936.31191821]
 [ 4898.31191821  6915.68808179]]",True,34057,11814,15227,3792,0.4471033855007781,0.3209751142712037,4-9_after
