sex,n,mean_htw_start_km,mean_htw_elapsed_min,corr_start_vs_elapsed
F,167441,29.596604176993687,200.33593166150067,0.6899839622527406
M,581376,30.217054023557903,178.07348686564288,0.6067831824896522
