label,value,pace_gain,n_value,n_pace_gain
Opening 10 km,2.8462841388479867,17.07770483308792,204569,204569
Middle 20 km,8.217385576504684,24.652156729514054,204569,204569
Final 12.195 km,7.668891588331181,37.73132392782869,204569,204569
