label,p10,median,p90,n_p10,n_median,n_p90
Accelerated 2–5%,2.633590457761783,11.700777488333959,30.97198022874462,9144,9144,9144
Accelerated more than 5%,-0.23398632774247918,7.557396762951429,24.997227442249937,10198,10198,10198
Little acceleration or slowing,7.035609238905027,18.190329971778596,44.88529209250588,25346,25346,25346
