cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,4,0,4,0,31.800000000000004,,46.75878408266075,,120.0,120.0,
0.3436509218779104,1.9115612628967962,0.127740648550121,4.043914142533173,62,2,62,2,29.056451612903228,16.53333333333333,36.729435513007516,6.505382386916229,150.0,150.0,False
0.01580322051114653,0.08376895847053833,0.9341108028387201,19.123902973891486,252,16,252,16,20.854166666666668,20.480208333333334,24.011530155336203,16.80040257316384,180.0,180.0,False
-0.6518636415870525,-3.589811814002558,0.0005894002845968496,74.61792839278333,487,68,487,68,18.490177960301164,34.920098039215674,23.169163742525015,36.734992824748964,210.0,210.0,True
-0.059868171841669496,-0.5127826481171782,0.6090452396941809,120.09881390656403,551,92,551,92,17.032970356926803,18.454347826086952,23.56524767210832,24.78203663670594,240.0,240.0,False
-0.28853894032891436,-2.659411243896909,0.008433819885389864,209.15347568851067,356,132,356,132,13.732537453183522,19.92310606060606,20.598191386871175,23.62077016249136,270.0,270.0,True
-0.24636859706034886,-2.057930166097401,0.04071620793050079,231.61838389834702,187,127,187,127,14.116934046345811,19.674540682414705,20.46528345733466,25.333451582393515,300.0,300.0,False
-0.07073469043467848,-0.42342052605022445,0.6728246716522613,108.75392062222942,109,60,109,60,12.646483180428133,13.886666666666663,16.66210401642262,19.02388819442277,330.0,330.0,False
0.18218759089854758,0.9304453490252581,0.3544037336829827,99.00651375726383,56,50,56,50,12.462797619047617,9.276333333333337,16.544231193029134,18.494091441700196,360.0,360.0,False
0.21734515886946007,0.5936742318145569,0.5602591269827116,17.657411530941687,20,8,20,8,5.142500000000001,3.147916666666667,9.80536086068163,7.200283490340491,390.0,390.0,False
,,,,4,0,4,0,16.308333333333337,,32.61666666666668,,420.0,420.0,
,,,,3,1,3,1,0.0,0.0,0.0,,480.0,480.0,
,,,,1,0,1,0,0.0,,,,570.0,570.0,
