city,years,n_records,pct_female,mean_finish,std_finish,pct_htw
Amsterdam,2012–2025,2887,24.696917215102182,239.54081514836625,40.1875546315044,22.96501558711465
Auckland,2017–2018,57,22.807017543859647,254.4485380116959,49.088975874303124,40.35087719298245
Barcelona,2019–2025,772,21.1139896373057,235.88635578583765,40.441828554525344,24.352331606217618
Berlin,2024–2025,2623,35.76057948913458,258.46470326598046,54.04217342851523,22.150209683568434
Boston,2024–2026,2372,42.03204047217538,223.7357152894885,46.915229461179976,21.205733558178753
Chicago,2024–2025,2801,43.30596215637272,260.00375461144824,63.38691991847397,29.418064976794
Copenhagen,2014–2022,1461,24.64065708418891,248.2682067077344,40.6478900962657,37.57700205338809
Dubai,2016–2019,100,23.0,262.58133333333336,49.1363254711632,59.0
Eindhoven,2011–2024,585,16.923076923076923,219.6003133903134,35.50548140572313,18.974358974358974
Gold Coast,2016–2024,914,30.41575492341357,249.41686725018235,52.397984580924074,43.98249452954048
Hamburg,2019–2019,86,1.1627906976744187,207.26065891472862,18.900691779847687,12.790697674418606
Helsinki,2015–2017,207,25.60386473429952,261.9812399355878,43.189323044547145,29.468599033816425
London,2025–2026,2814,46.62402274342573,280.4105425254679,66.23444996565206,33.43994314143568
Madrid,2013–2025,2512,12.818471337579618,244.342343418259,38.20006114721821,39.410828025477706
Melbourne,2015–2015,10,50.0,262.9033333333333,34.10732950446173,40.0
New York,2019–2025,4566,43.45159877354358,271.4032486494379,58.61238605643484,30.727113447218574
Oslo,2016–2022,218,24.31192660550459,240.04449541284401,36.54763419229757,33.48623853211009
Paris,2019–2024,1911,22.919937205651493,238.67654805511947,41.51004237162248,25.379382522239663
Prague,2016–2018,340,28.235294117647058,263.06519607843137,50.405628380789565,44.41176470588235
Rotterdam,2013–2024,3071,20.481927710843372,239.4446380115055,36.724614436068094,28.752849234776946
Singapore,2025–2025,244,20.901639344262296,319.29918032786884,65.59013008017614,53.278688524590166
Stockholm,2011–2011,276,31.88405797101449,242.59003623188408,36.768288026541605,15.579710144927535
Sydney,2017–2018,187,28.87700534759358,259.9662210338681,47.39656503419301,41.711229946524064
Valencia,2021–2023,775,6.96774193548387,215.12587096774192,37.951294973103316,18.580645161290324
Warsaw,2015–2018,652,14.723926380368098,236.77888548057257,37.2252371529156,24.386503067484664
Washington,2008–2018,5913,43.04075765262979,288.44066463724,51.632715020765396,45.62827667850499
