odds_ratio,chi2,p,dof,expected,significant,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index
0.3698630136986301,0.11081081081081079,0.7392229208325178,1,"[[ 3.90243902 36.09756098]
 [ 0.09756098  0.90243902]]",False,40,1,4,0,0.1,0.0,0.3038218101251,,120.0,120.0
2.977401129943503,2.43353493867539,0.11876480916814496,1,"[[ 58.74922601 534.25077399]
 [  5.25077399  47.74922601]]",False,593,53,62,2,0.1045531197301855,0.03773584905660377,0.30623505638314397,0.1923802475610973,150.0,150.0
4.275449101796407,34.483175000288675,4.299517920456374e-09,1,"[[ 217.94552529 1036.05447471]
 [  50.05447471  237.94552529]]",True,1254,288,252,16,0.20095693779904306,0.05555555555555555,0.40087578872332763,0.22946013834864537,180.0,180.0
3.1115274707499867,70.02982626931203,5.841449406327247e-17,1,"[[ 413.10849057 1164.89150943]
 [ 141.89150943  400.10849057]]",True,1578,542,487,68,0.3086185044359949,0.12546125461254612,0.4620697202164898,0.33154718994655114,210.0,210.0
4.788973946878701,157.98683203032485,3.1154314868777393e-36,1,"[[436.7315051 628.2684949]
 [206.2684949 296.7315051]]",True,1065,503,551,92,0.5173708920187794,0.18290258449304175,0.4999329264199812,0.38697149340287906,240.0,240.0
3.053593789130979,70.67155550100506,4.2193229624215864e-17,1,"[[290.66135458 307.33864542]
 [197.33864542 208.66135458]]",True,598,406,356,132,0.5953177257525084,0.3251231527093596,0.4912413592986714,0.46899878607430495,270.0,270.0
2.0771934758155233,18.977294731114394,1.3228325754266082e-05,1,"[[160.76369863 138.23630137]
 [153.23630137 131.76369863]]",True,299,285,187,127,0.6254180602006689,0.4456140350877193,0.4848262081983152,0.4979076557004718,300.0,300.0
2.912931034482759,21.748811958562356,3.107822621048743e-06,1,"[[88.196875 78.803125]
 [80.803125 72.196875]]",True,167,153,109,60,0.6526946107784432,0.39215686274509803,0.47754573000697,0.4898347481501859,330.0,330.0
2.0246153846153847,5.159969904490238,0.023113297837181686,1,"[[48.55865922 33.44134078]
 [57.44134078 39.55865922]]",False,82,97,56,50,0.6829268292682927,0.5154639175257731,0.4681998302004165,0.5023569875649451,360.0,360.0
2.2916666666666665,2.002737822817914,0.1570153758159722,1,"[[17.56862745 14.43137255]
 [10.43137255  8.56862745]]",False,32,19,20,8,0.625,0.42105263157894735,0.4918693768379647,0.5072572735017881,390.0,390.0
9.0,2.857142857142857,0.09096894797535765,1,"[[2.8 4.2]
 [1.2 1.8]]",False,7,3,4,0,0.5714285714285714,0.0,0.5345224838248488,0.0,420.0,420.0
0.3333333333333333,,,1,,,1,0,0,0,0.0,,,,450.0,450.0
11.666666666666666,3.0,0.08326451666355042,1,"[[2. 1.]
 [2. 1.]]",False,3,3,3,1,1.0,0.3333333333333333,0.0,0.5773502691896258,480.0,480.0
0.2,,,1,,,2,0,0,0,0.0,,0.0,,510.0,510.0
0.3333333333333333,,,1,,,1,0,0,0,0.0,,,,540.0,540.0
3.0,,,1,,,1,0,1,0,1.0,,,,570.0,570.0
