cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,4,0,4,0,174.89583333333334,,48.860319382758696,,120.0,120.0,
0.6035015788504245,3.5847112889082684,0.013628858184157325,5.451906767343408,62,2,62,2,200.48763440860213,179.00833333333333,35.87475112224099,5.503647780235294,150.0,150.0,False
-0.07133884892799132,-0.3604703598865371,0.72254189418524,18.66808258138945,252,16,252,16,218.775462962963,220.57083333333333,25.494411126325847,18.858408577450906,180.0,180.0,False
-0.6268939915640871,-3.5335283654589844,0.0007052635101556034,75.1581503668389,487,68,487,68,245.68511293634495,262.6441176470589,25.077707425537778,38.451928999987956,210.0,210.0,True
-0.04554367832992754,-0.4002173186719232,0.6896941924806953,122.38231038821925,551,92,551,92,272.4934966727163,273.6360507246377,25.034828578867316,25.400009286959293,240.0,240.0,False
-0.31479390547638614,-2.8625049916204692,0.004640462835074436,204.50822016850836,356,132,356,132,298.3176498127341,305.45303030303035,21.546137593466383,25.457019759566105,270.0,270.0,True
-0.2604913684988151,-2.2076419478610303,0.02819390302496854,245.65808959272698,187,127,187,127,328.54759358288777,335.01325459317593,23.393188369676547,26.790042664627965,300.0,300.0,False
-0.11885561561441582,-0.7398838402942267,0.46079265893006294,121.93267454113703,109,60,109,60,355.45045871559626,357.7594444444445,19.442957543508154,19.397223325924944,330.0,330.0,False
0.13463077369777865,0.6927377942515148,0.4900318552912048,103.08119170828863,56,50,56,50,384.41517857142856,381.69000000000005,20.432292789953873,20.02597264801054,360.0,360.0,False
-0.09358051678887609,-0.24884760951587334,0.8065470177354142,16.51450211108668,20,8,20,8,404.75416666666666,405.7854166666667,11.64199757155705,9.119991286806615,390.0,390.0,False
,,,,4,0,4,0,452.01250000000005,,34.84182877530121,,420.0,420.0,
,,,,3,1,3,1,493.84999999999997,483.75,14.194903232420371,,480.0,480.0,
,,,,1,0,1,0,577.1666666666666,,,,570.0,570.0,
