sex,recovered,n,cascade_rate,htw_rate,mean_finish,mean_patch_recover_ratio
F,False,385191,0.4765428060364858,0.3518280541341828,295.21792175829654,0.07511083079342405
F,True,54042,0.3675104548314274,0.2933829243921394,320.95528138608245,-0.061540689604396855
M,False,718364,0.6689992817011988,0.6061759776380776,269.67195994416943,0.12903313333468738
M,True,46047,0.5071122983039069,0.4530588311942146,302.8448939851311,-0.0685744750734377
