label,opening,retention,n_opening,n_retention
1 earlier finish,-5.906247225217209,8.975914053023736,316361,316361
2 earlier finishes,-4.102272727272737,9.072891433604923,98119,98119
3–4 earlier finishes,-3.8451330430419817,9.716551813325168,77550,77550
5 or more earlier finishes,-4.071596673216648,12.08754208754208,32293,32293
