city,segment,avg_grade,mid_km,post20,gap_multiplier,curve_version
Eindhoven,25,-0.0008,22.5,1,1.048477,v2_27cities
Eindhoven,30,0.0004,27.5,1,1.064022,v2_27cities
Eindhoven,35,0.0001,32.5,1,1.0772,v2_27cities
Eindhoven,40,-0.0002,37.5,1,1.090378,v2_27cities
Eindhoven,42,0.0006,41.0975,1,1.101463,v2_27cities
Frankfurt,05,0.0021,2.5,0,0.984372,v2_27cities
Frankfurt,10,0.0009,7.5,0,0.996129,v2_27cities
Frankfurt,15,-0.0025,12.5,0,1.004413,v2_27cities
Frankfurt,20,-0.0007,17.5,0,1.020906,v2_27cities
Frankfurt,25,-0.0,22.5,1,1.049739,v2_27cities
Frankfurt,30,-0.0004,27.5,1,1.062759,v2_27cities
Frankfurt,35,0.0003,32.5,1,1.077516,v2_27cities
Frankfurt,40,0.0023,37.5,1,1.094325,v2_27cities
Frankfurt,42,-0.004,41.0975,1,1.094201,v2_27cities
Gold Coast,05,-0.0007,2.5,0,0.979952,v2_27cities
Gold Coast,10,0.001,7.5,0,0.996287,v2_27cities
Gold Coast,15,0.0001,12.5,0,1.008517,v2_27cities
Gold Coast,20,-0.0006,17.5,0,1.021064,v2_27cities
Gold Coast,25,0.0004,22.5,1,1.050371,v2_27cities
Gold Coast,30,-0.0014,27.5,1,1.061181,v2_27cities
Gold Coast,35,0.0003,32.5,1,1.077516,v2_27cities
Gold Coast,40,-0.0002,37.5,1,1.090378,v2_27cities
Gold Coast,42,0.0,41.0975,1,1.100516,v2_27cities
Hamburg,05,0.0038,2.5,0,0.987055,v2_27cities
Hamburg,10,-0.0037,7.5,0,0.988867,v2_27cities
Hamburg,15,-0.0009,12.5,0,1.006939,v2_27cities
Hamburg,20,-0.0014,17.5,0,1.019801,v2_27cities
Hamburg,25,0.0018,22.5,1,1.052581,v2_27cities
Hamburg,30,-0.0007,27.5,1,1.062286,v2_27cities
Hamburg,35,-0.0009,32.5,1,1.075622,v2_27cities
Hamburg,40,0.0005,37.5,1,1.091483,v2_27cities
Hamburg,42,0.0058,41.0975,1,1.109672,v2_27cities
Helsinki,05,0.001,2.5,0,0.982635,v2_27cities
Helsinki,10,-0.0002,7.5,0,0.994392,v2_27cities
Helsinki,15,-0.0008,12.5,0,1.007097,v2_27cities
Helsinki,20,-0.0003,17.5,0,1.021537,v2_27cities
Helsinki,25,0.0028,22.5,1,1.05416,v2_27cities
Helsinki,30,-0.0031,27.5,1,1.058497,v2_27cities
Helsinki,35,0.0026,32.5,1,1.081147,v2_27cities
Helsinki,40,-0.0005,37.5,1,1.089904,v2_27cities
Helsinki,42,0.0,41.0975,1,1.100516,v2_27cities
Honolulu,05,0.0,2.5,0,0.981057,v2_27cities
Honolulu,10,0.0,7.5,0,0.994708,v2_27cities
Honolulu,15,0.0068,12.5,0,1.019094,v2_27cities
Honolulu,20,-0.0067,17.5,0,1.011434,v2_27cities
Honolulu,25,-0.0001,22.5,1,1.049582,v2_27cities
Honolulu,30,0.0,27.5,1,1.063391,v2_27cities
Honolulu,35,0.0018,32.5,1,1.079884,v2_27cities
Honolulu,40,0.0044,37.5,1,1.09764,v2_27cities
Honolulu,42,-0.0136,41.0975,1,1.079046,v2_27cities
London,05,-0.0048,2.5,0,0.973479,v2_27cities
London,10,-0.0017,7.5,0,0.992024,v2_27cities
London,15,-0.0005,12.5,0,1.00757,v2_27cities
London,20,-0.0003,17.5,0,1.021537,v2_27cities
London,25,0.0001,22.5,1,1.049897,v2_27cities
London,30,0.0027,27.5,1,1.067653,v2_27cities
London,35,-0.0015,32.5,1,1.074674,v2_27cities
London,40,-0.0007,37.5,1,1.089589,v2_27cities
London,42,-0.0002,41.0975,1,1.1002,v2_27cities
Madrid,05,0.0143,2.5,0,1.003631,v2_27cities
Madrid,10,-0.009,7.5,0,0.9805,v2_27cities
Madrid,15,-0.0043,12.5,0,1.001571,v2_27cities
Madrid,20,-0.0051,17.5,0,1.01396,v2_27cities
Madrid,25,-0.0139,22.5,1,1.027796,v2_27cities
Madrid,30,0.0074,27.5,1,1.075073,v2_27cities
Madrid,35,-0.0083,32.5,1,1.06394,v2_27cities
Madrid,40,0.0083,37.5,1,1.103797,v2_27cities
Madrid,42,0.0114,41.0975,1,1.118513,v2_27cities
Mexico City,05,-0.005,2.5,0,0.973163,v2_27cities
Mexico City,10,-0.004,7.5,0,0.988393,v2_27cities
Mexico City,15,0.0011,12.5,0,1.010096,v2_27cities
Mexico City,20,0.0031,17.5,0,1.026905,v2_27cities
Mexico City,25,0.0003,22.5,1,1.050213,v2_27cities
Mexico City,30,-0.0043,27.5,1,1.056603,v2_27cities
Mexico City,35,-0.001,32.5,1,1.075464,v2_27cities
Mexico City,40,-0.0004,37.5,1,1.090062,v2_27cities
Mexico City,42,0.0017,41.0975,1,1.1032,v2_27cities
New York,05,-0.0034,2.5,0,0.975689,v2_27cities
New York,10,-0.0016,7.5,0,0.992182,v2_27cities
New York,15,-0.0005,12.5,0,1.00757,v2_27cities
New York,20,-0.0008,17.5,0,1.020748,v2_27cities
New York,25,-0.0016,22.5,1,1.047214,v2_27cities
New York,30,0.0004,27.5,1,1.064022,v2_27cities
New York,35,0.0008,32.5,1,1.078305,v2_27cities
New York,40,0.0027,37.5,1,1.094956,v2_27cities
New York,42,0.0007,41.0975,1,1.101621,v2_27cities
Oslo,05,0.0079,2.5,0,0.993528,v2_27cities
Oslo,10,-0.0104,7.5,0,0.97829,v2_27cities
Oslo,15,0.0032,12.5,0,1.013411,v2_27cities
Oslo,20,0.0012,17.5,0,1.023905,v2_27cities
Oslo,25,0.0018,22.5,1,1.052581,v2_27cities
Oslo,30,-0.005,27.5,1,1.055498,v2_27cities
Oslo,35,-0.0011,32.5,1,1.075306,v2_27cities
Oslo,40,0.0073,37.5,1,1.102218,v2_27cities
Oslo,42,-0.0084,41.0975,1,1.087255,v2_27cities
Paris,05,-0.0,2.5,0,0.981057,v2_27cities
Paris,10,0.0027,7.5,0,0.99897,v2_27cities
Paris,15,-0.0006,12.5,0,1.007412,v2_27cities
Paris,20,-0.0006,17.5,0,1.021064,v2_27cities
Paris,25,-0.0022,22.5,1,1.046266,v2_27cities
Paris,30,0.0004,27.5,1,1.064022,v2_27cities
Paris,35,-0.0004,32.5,1,1.076411,v2_27cities
Paris,40,0.0058,37.5,1,1.09985,v2_27cities
Paris,42,-0.0102,41.0975,1,1.084414,v2_27cities
