scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
Oslo,35,30.0,32.5,5.0,8432,8432,6.097262,5.670258,0.427004,0.929968,live_v2_curve_x_course_segments
Oslo,40,35.0,37.5,5.0,8432,8432,6.25946,5.678967,0.580493,0.907262,live_v2_curve_x_course_segments
Oslo,42,40.0,41.0975,2.195,8432,8432,6.34814,5.838684,0.509456,0.919747,live_v2_curve_x_course_segments
Sydney,05,0.0,2.5,5.0,7073,7073,5.494617,5.739242,-0.244625,1.044521,live_v2_curve_x_course_segments
Sydney,10,5.0,7.5,5.0,7073,7073,5.671511,5.705306,-0.033795,1.005959,live_v2_curve_x_course_segments
Sydney,15,10.0,12.5,5.0,7073,7073,5.543661,5.436424,0.107238,0.980656,live_v2_curve_x_course_segments
Sydney,20,15.0,17.5,5.0,7073,7073,5.751147,5.66227,0.088877,0.984546,live_v2_curve_x_course_segments
Sydney,25,20.0,22.5,5.0,7073,7073,5.790069,5.517379,0.272689,0.952904,live_v2_curve_x_course_segments
Sydney,30,25.0,27.5,5.0,7073,7073,6.226492,5.83108,0.395412,0.936495,live_v2_curve_x_course_segments
Sydney,35,30.0,32.5,5.0,7073,7073,6.584028,6.116649,0.467379,0.929013,live_v2_curve_x_course_segments
Sydney,40,35.0,37.5,5.0,7073,7073,7.069487,6.526988,0.542499,0.923262,live_v2_curve_x_course_segments
Sydney,42,40.0,41.0975,2.195,7073,7073,6.451908,5.886263,0.565645,0.912329,live_v2_curve_x_course_segments
Austin,05,0.0,2.5,5.0,7625,7625,6.128306,6.130239,-0.001933,1.000315,live_v2_curve_x_course_segments
Austin,10,5.0,7.5,5.0,7625,7625,5.89015,6.050152,-0.160002,1.027164,live_v2_curve_x_course_segments
Austin,15,10.0,12.5,5.0,7625,7625,6.271751,6.176245,0.095506,0.984772,live_v2_curve_x_course_segments
Austin,20,15.0,17.5,5.0,7625,7625,6.407701,6.265828,0.141873,0.977859,live_v2_curve_x_course_segments
Austin,25,20.0,22.5,5.0,7625,7625,6.691836,6.330017,0.361818,0.945931,live_v2_curve_x_course_segments
Austin,30,25.0,27.5,5.0,7625,7625,6.954377,6.539812,0.414565,0.940388,live_v2_curve_x_course_segments
Austin,35,30.0,32.5,5.0,7625,7625,7.148214,6.722618,0.425596,0.940461,live_v2_curve_x_course_segments
Austin,40,35.0,37.5,5.0,7625,7625,7.471157,6.846939,0.624218,0.91645,live_v2_curve_x_course_segments
Austin,42,40.0,41.0975,2.195,7625,7625,7.298759,6.550376,0.748383,0.897464,live_v2_curve_x_course_segments
Dubai,05,0.0,2.5,5.0,5356,5356,5.616509,5.720357,-0.103848,1.01849,live_v2_curve_x_course_segments
Dubai,10,5.0,7.5,5.0,5356,5356,5.620494,5.645916,-0.025422,1.004523,live_v2_curve_x_course_segments
Dubai,15,10.0,12.5,5.0,5356,5356,5.666188,5.628025,0.038163,0.993265,live_v2_curve_x_course_segments
Dubai,20,15.0,17.5,5.0,5356,5356,5.829071,5.69913,0.129942,0.977708,live_v2_curve_x_course_segments
Dubai,25,20.0,22.5,5.0,5356,5356,6.123923,5.838145,0.285778,0.953334,live_v2_curve_x_course_segments
Dubai,30,25.0,27.5,5.0,5356,5356,6.486096,6.097636,0.38846,0.940109,live_v2_curve_x_course_segments
Dubai,35,30.0,32.5,5.0,5356,5356,6.946287,6.442799,0.503488,0.927517,live_v2_curve_x_course_segments
Dubai,40,35.0,37.5,5.0,5356,5356,7.211386,6.61653,0.594856,0.917512,live_v2_curve_x_course_segments
Dubai,42,40.0,41.0975,2.195,5356,5356,6.766615,6.162728,0.603887,0.910755,live_v2_curve_x_course_segments
Auckland,05,0.0,2.5,5.0,2435,2435,5.570689,5.64194,-0.071251,1.01279,live_v2_curve_x_course_segments
Auckland,10,5.0,7.5,5.0,2435,2435,5.430023,5.476294,-0.046271,1.008521,live_v2_curve_x_course_segments
Auckland,15,10.0,12.5,5.0,2435,2435,5.550494,5.531325,0.01917,0.996546,live_v2_curve_x_course_segments
Auckland,20,15.0,17.5,5.0,2435,2435,5.738638,5.617649,0.120989,0.978917,live_v2_curve_x_course_segments
Auckland,25,20.0,22.5,5.0,2435,2435,5.867176,5.592538,0.274638,0.953191,live_v2_curve_x_course_segments
Auckland,30,25.0,27.5,5.0,2435,2435,6.517195,6.117793,0.399402,0.938716,live_v2_curve_x_course_segments
Auckland,35,30.0,32.5,5.0,2435,2435,6.131035,5.689138,0.441897,0.927925,live_v2_curve_x_course_segments
Auckland,40,35.0,37.5,5.0,2435,2435,6.701852,6.154376,0.547477,0.91831,live_v2_curve_x_course_segments
Auckland,42,40.0,41.0975,2.195,2435,2435,6.322624,5.736915,0.585709,0.907363,live_v2_curve_x_course_segments
Hamburg,05,0.0,2.5,5.0,3341,3341,4.835053,4.898462,-0.063408,1.013114,live_v2_curve_x_course_segments
Hamburg,10,5.0,7.5,5.0,3341,3341,4.714534,4.767611,-0.053078,1.011258,live_v2_curve_x_course_segments
Hamburg,15,10.0,12.5,5.0,3341,3341,4.753391,4.720636,0.032755,0.993109,live_v2_curve_x_course_segments
Hamburg,20,15.0,17.5,5.0,3341,3341,4.711627,4.620145,0.091483,0.980584,live_v2_curve_x_course_segments
Hamburg,25,20.0,22.5,5.0,3341,3341,4.847164,4.605027,0.242137,0.950046,live_v2_curve_x_course_segments
Hamburg,30,25.0,27.5,5.0,3341,3341,4.855962,4.571239,0.284723,0.941366,live_v2_curve_x_course_segments
Hamburg,35,30.0,32.5,5.0,3341,3341,4.928384,4.581894,0.34649,0.929695,live_v2_curve_x_course_segments
Hamburg,40,35.0,37.5,5.0,3341,3341,5.131246,4.701168,0.430078,0.916185,live_v2_curve_x_course_segments
Hamburg,42,40.0,41.0975,2.195,3341,3341,5.093397,4.590001,0.503396,0.901167,live_v2_curve_x_course_segments
