city,year,race,race_date,start_local,forecast_status,race_morning_temp_c,race_morning_feels_like_c,window_start,window_end,leadup_available,n_hours_temp_nonnull,leadup_temp_c_min,leadup_temp_c_max,leadup_temp_c_mean,fetched_at,notes
Berlin,2026,Berlin Marathon,2026-09-27,09:15,partial_window,,,2026-09-21,2026-09-22,true,45,11.9,26.9,16.38888888888889,2026-09-07T01:07:44Z,race_date=2026-09-27; race_week=2026-09-21..2026-09-27; open_meteo_horizon=2026-09-07..2026-09-22; date_source=bmw-berlin-marathon.com (2026-09-27); coords_from=race_conditions; status=partial_window; race_morning_summary=null (race_date outside fetched hours)
Chicago,2026,Chicago Marathon,2026-10-11,07:30,awaiting_forecast_window,,,,,false,0,,,,2026-09-07T01:07:45Z,race_date=2026-10-11; race_week=2026-10-05..2026-10-11; open_meteo_horizon=2026-09-06..2026-09-21; date_source=chicagomarathon.com FAQ (2026-10-11); coords_from=race_conditions; status=awaiting_forecast_window
New York,2026,New York City Marathon,2026-11-01,09:00,awaiting_forecast_window,,,,,false,0,,,,2026-09-07T01:07:46Z,race_date=2026-11-01; race_week=2026-10-26..2026-11-01; open_meteo_horizon=2026-09-06..2026-09-21; date_source=nyrr.org TCS NYC Marathon (2026-11-01); coords_from=race_conditions; status=awaiting_forecast_window
