city,year,race,race_date,start_local,timezone,lat,lon,forecast_status,race_morning_available,race_morning_temp_c,race_morning_feels_like_c,race_morning_dewpoint_c,race_morning_humidity_pct,race_morning_wind_mps,race_morning_precip_mm,window_start,window_end,fetched_window_start,fetched_window_end,race_week_start,race_week_end,n_hours_listed,n_hours_temp_nonnull,leadup_temp_c_min,leadup_temp_c_max,leadup_temp_c_mean,leadup_feels_like_c_min,leadup_feels_like_c_max,leadup_humidity_pct_mean,leadup_precip_mm_sum,leadup_wind_mps_mean,leadup_wind_mps_max,source,fetched_at,updated_at,notes
Berlin,2026,Berlin Marathon,2026-09-27,09:15,Europe/Berlin,52.52,13.405,partial_window,false,,,,,,,2026-09-21,2026-09-22,2026-09-21,2026-09-22,2026-09-21,2026-09-27,48,45,11.9,26.9,16.38888888888889,10.2,22.9,62.55555555555556,0.6000000000000001,3.434444444444445,5.6,open-meteo-forecast,2026-09-07T01:07:44Z,2026-09-07T01:07:44Z,race_date=2026-09-27; race_week=2026-09-21..2026-09-27; open_meteo_horizon=2026-09-07..2026-09-22; date_source=bmw-berlin-marathon.com (2026-09-27); coords_from=race_conditions; status=partial_window; race_morning_summary=null (race_date outside fetched hours)
Chicago,2026,Chicago Marathon,2026-10-11,07:30,America/Chicago,41.8781,-87.6298,awaiting_forecast_window,false,,,,,,,,,,,2026-10-05,2026-10-11,0,0,,,,,,,,,,open-meteo-forecast,2026-09-07T01:07:45Z,2026-09-07T01:07:45Z,race_date=2026-10-11; race_week=2026-10-05..2026-10-11; open_meteo_horizon=2026-09-06..2026-09-21; date_source=chicagomarathon.com FAQ (2026-10-11); coords_from=race_conditions; status=awaiting_forecast_window
New York,2026,New York City Marathon,2026-11-01,09:00,America/New_York,40.7128,-74.006,awaiting_forecast_window,false,,,,,,,,,,,2026-10-26,2026-11-01,0,0,,,,,,,,,,open-meteo-forecast,2026-09-07T01:07:46Z,2026-09-07T01:07:46Z,race_date=2026-11-01; race_week=2026-10-26..2026-11-01; open_meteo_horizon=2026-09-06..2026-09-21; date_source=nyrr.org TCS NYC Marathon (2026-11-01); coords_from=race_conditions; status=awaiting_forecast_window
