target_finish_band,target_finish_lo_min,target_finish_hi_min,sex,n,finish_p10_min,finish_p50_min,finish_p90_min,suggested_first_half_lo,suggested_first_half_hi,suggested_first_half_p50,suggested_base_pace_lo,suggested_base_pace_hi,suggested_base_pace_p50,mean_positive_split,mean_split_ratio,htw_rate,mean_severity
a120,120,150,F,719,139.57666015625,144.98333740234375,148.96665954589844,3.321666717529297,3.448333263397217,3.388333320617676,3.31333327293396,3.444444417953491,3.383333444595337,0.026837190613150597,1.0268372297286987,0.004172461752433936,0.03297773376107216
a120,120,150,M,8830,129.88333129882812,144.35000610351562,149.26666259765625,3.1700000762939453,3.4591667652130127,3.3475000858306885,3.172222137451172,3.461111068725586,3.3511111736297607,0.03368894383311272,1.033689022064209,0.022083805209513023,0.03611913323402405
a150,150,180,F,7433,159.9533233642578,174.48333740234375,179.11666870117188,3.9083333015441895,4.169166564941406,4.06416654586792,3.9111111164093018,4.168889045715332,4.065555572509766,0.02955644391477108,1.029556393623352,0.015606080990178932,0.03328818827867508
a150,150,180,M,125589,158.28334045410156,172.14999389648438,178.93333435058594,3.817500114440918,4.133333206176758,3.987499952316284,3.8155555725097656,4.128889083862305,3.9844443798065186,0.03669506311416626,1.036695122718811,0.04124565049486818,0.04140174388885498
a180,180,210,F,55754,186.96665954589844,200.26666259765625,208.4499969482422,4.46750020980835,4.789166450500488,4.639999866485596,4.468888759613037,4.784444332122803,4.638888835906982,0.039897896349430084,1.0398977994918823,0.029343186139111094,0.044776543974876404
a180,180,210,M,303240,184.71665954589844,198.2083282470703,208.21665954589844,4.322500228881836,4.730000019073486,4.538333415985107,4.316666603088379,4.714444637298584,4.526666641235352,0.06286085397005081,1.0628608465194702,0.135928637382931,0.06945279985666275
a210,210,240,F,145666,214.36666870117188,228.0500030517578,238.01666259765625,5.050000190734863,5.43583345413208,5.25166654586792,5.048888683319092,5.426666736602783,5.245555400848389,0.05245627462863922,1.052456259727478,0.06291104307113533,0.05808621272444725
a210,210,240,M,463019,213.63333129882812,226.64999389648438,237.75,4.953333377838135,5.361666679382324,5.147500038146973,4.940000057220459,5.338889122009277,5.125555515289307,0.08156879246234894,1.0815688371658325,0.22052874720043886,0.08967465907335281
a240,240,270,F,180511,243.18333435058594,255.60000610351562,267.2833251953125,5.632500171661377,6.006666660308838,5.804166793823242,5.631111145019531,6.001111030578613,5.800000190734863,0.07998500764369965,1.0799850225448608,0.14455628742846696,0.0843702107667923
a240,240,270,M,362827,242.71665954589844,254.26666259765625,266.73333740234375,5.472499847412109,5.865833282470703,5.6616668701171875,5.460000038146973,5.835555553436279,5.643333435058594,0.12907648086547852,1.1290764808654785,0.4126980627130836,0.13608169555664062
a270,270,300,F,162274,272.7166748046875,284.2166748046875,296.7833251953125,6.177499771118164,6.604166507720947,6.391666889190674,6.19777774810791,6.619999885559082,6.407777786254883,0.10983224958181381,1.1098322868347168,0.24098746564452717,0.11039169877767563
a270,270,300,M,239820,272.5333251953125,283.54998779296875,296.5,5.897500038146973,6.43583345413208,6.176666736602783,5.898889064788818,6.434444427490234,6.17555570602417,0.18240201473236084,1.1824018955230713,0.5612167458927529,0.18482178449630737
a300,300,330,F,105317,302.4166564941406,313.5666809082031,326.5,6.692500114440918,7.146666526794434,6.924166679382324,6.745555400848389,7.210000038146973,6.9811110496521,0.14936083555221558,1.1493607759475708,0.362220724099623,0.1431012898683548
a300,300,330,M,122369,302.3333435058594,313.04998779296875,326.20001220703125,6.389166831970215,6.959166526794434,6.681666851043701,6.424444675445557,7.003333568572998,6.722222328186035,0.2289196401834488,1.228919506072998,0.6557543168612966,0.223689004778862
a330,330,360,F,66955,332.4166564941406,343.1833190917969,356.2166748046875,7.2208333015441895,7.749166488647461,7.486666679382324,7.315555572509766,7.8677778244018555,7.599999904632568,0.17610158026218414,1.1761014461517334,0.42470315883802556,0.1621360033750534
a330,330,360,M,63179,332.23333740234375,342.6000061035156,356.0333251953125,6.9091668128967285,7.534999847412109,7.222499847412109,6.997777938842773,7.648889064788818,7.325555324554443,0.2551318109035492,1.255131721496582,0.6725810791560487,0.24047182500362396
a360,360,390,F,33733,362.1499938964844,372.3833312988281,385.8333435058594,7.809166431427002,8.3725004196167,8.09666633605957,7.958889007568359,8.55222225189209,8.265555381774902,0.18639342486858368,1.1863933801651,0.428274982954377,0.16566035151481628
a360,360,390,M,26174,362.04998779296875,372.1166687011719,385.6666564941406,7.495833396911621,8.180832862854004,7.852499961853027,7.6566667556762695,8.366666793823242,8.025555610656738,0.2596112787723541,1.2596113681793213,0.6231374646595859,0.2358272522687912
a390,390,420,F,15096,392.04998779296875,401.75,415.6000061035156,8.399999618530273,9.000833511352539,8.710833549499512,8.588889122009277,9.226666450500488,8.917778015136719,0.19678789377212524,1.1967878341674805,0.44773449920508746,0.17206846177577972
a390,390,420,M,10337,392.01666259765625,401.4333190917969,415.26666259765625,8.084166526794434,8.824166297912598,8.466666221618652,8.286666870117188,9.0600004196167,8.69111156463623,0.26545992493629456,1.2654598951339722,0.6168133887975235,0.23656968772411346
a420,420,450,F,5827,421.8999938964844,431.1499938964844,444.9666748046875,9.029999732971191,9.657917022705078,9.353333473205566,9.282221794128418,9.924444198608398,9.61111068725586,0.19501322507858276,1.195013165473938,0.39934786339454265,0.166358083486557
a420,420,450,M,3467,421.79998779296875,431.0,444.5633239746094,8.698333740234375,9.492500305175781,9.119999885559082,8.9622220993042,9.761667251586914,9.404444694519043,0.2676677405834198,1.2676676511764526,0.5725411018171329,0.2342829704284668
a450,450,480,F,1924,451.98333740234375,461.35833740234375,475.4233093261719,9.592290878295898,10.319167137145996,9.957500457763672,9.904167175292969,10.622221946716309,10.270000457763672,0.20675934851169586,1.2067593336105347,0.41216216216216217,0.17498357594013214
a450,450,480,M,1149,451.9333190917969,461.2833251953125,475.5966796875,9.241666793823242,10.1875,9.72249984741211,9.598889350891113,10.515555381774902,10.043333053588867,0.2801699936389923,1.28016996383667,0.5552654482158399,0.24151279032230377
a480,480,510,F,684,482.27166748046875,490.4083251953125,505.19000244140625,10.233125686645508,11.111666679382324,10.72541618347168,10.573333740234375,11.459444046020508,11.046111106872559,0.1892923265695572,1.189292311668396,0.38596491228070173,0.1593148112297058
a480,480,510,M,368,482.1733093261719,490.375,504.44500732421875,9.839582443237305,10.90020751953125,10.445417404174805,10.182777404785156,11.261388778686523,10.748888969421387,0.2627757489681244,1.2627757787704468,0.5570652173913043,0.22629614174365997
a510,510,540,F,235,511.3466796875,520.9166870117188,533.4933471679688,10.84000015258789,11.783750534057617,11.354166984558105,11.232221603393555,12.150555610656738,11.65999984741211,0.19978474080562592,1.1997846364974976,0.4,0.16869673132896423
a510,510,540,M,103,512.4500122070312,520.8833618164062,536.6366577148438,10.844583511352539,11.785833358764648,11.300833702087402,10.963889122009277,12.222222328186035,11.644444465637207,0.2363257110118866,1.2363256216049194,0.4368932038834951,0.21236395835876465
a540,540,570,F,70,542.058349609375,549.5999755859375,568.0333251953125,11.652083396911621,12.458541870117188,12.09666633605957,11.994166374206543,12.737222671508789,12.30222225189209,0.1589050590991974,1.1589049100875854,0.37142857142857144,0.16026249527931213
a540,540,570,M,65,541.5166625976562,551.433349609375,564.943359375,11.649999618530273,12.635000228881836,12.082500457763672,11.686666488647461,12.75333309173584,12.260000228881836,0.2243952602148056,1.2243951559066772,0.38461538461538464,0.22401036322116852
