ability_band,sex,course,is_major,ability_lo_min,n,finish_p10_min,finish_p50_min,finish_p90_min,mean_positive_split,mean_split_ratio,htw_rate,mean_severity,severity_none_rate,severity_mild_rate,severity_moderate_rate,severity_severe_rate,pace_first_half_p10,pace_first_half_p25,pace_first_half_p50,pace_first_half_p75,pace_first_half_p90,base_pace_p10,base_pace_p25,base_pace_p50,base_pace_p75,base_pace_p90,recommended_first_half_lo,recommended_first_half_hi,recommended_base_pace_lo,recommended_base_pace_hi
a300,F,Oslo,False,300,139,302.95001220703125,312.3500061035156,325.4866638183594,0.17186492681503296,1.1718648672103882,0.5035971223021583,0.20042891800403595,0.16546762589928057,0.5251798561151079,0.2733812949640288,0.03597122302158273,6.4014997482299805,6.610833168029785,6.835833549499512,7.073333263397217,7.244833469390869,6.406221866607666,6.6583333015441895,6.877777576446533,7.1077775955200195,7.295777797698975,6.610833168029785,7.073333263397217,6.6583333015441895,7.1077775955200195
a300,F,Paris,False,300,3395,301.95001220703125,312.1666564941406,326.5766906738281,0.16563834249973297,1.1656383275985718,0.45979381443298967,0.1570136845111847,0.29131075110456556,0.5652430044182621,0.12282768777614138,0.020618556701030927,6.421999931335449,6.624166488647461,6.852499961853027,7.070833206176758,7.274666786193848,6.486444473266602,6.690000057220459,6.912222385406494,7.144999980926514,7.356222152709961,6.624166488647461,7.070833206176758,6.690000057220459,7.144999980926514
a300,F,Prague,False,300,494,302.9100036621094,313.3500061035156,328.73333740234375,0.08389220386743546,1.0838922262191772,0.4757085020242915,0.1594465672969818,0.291497975708502,0.5688259109311741,0.10931174089068826,0.030364372469635626,6.657166481018066,6.890000343322754,7.1845831871032715,7.513333320617676,7.772916793823242,6.308333396911621,6.482500076293945,6.722777843475342,6.988055229187012,7.210444450378418,6.890000343322754,7.513333320617676,6.482500076293945,6.988055229187012
a300,F,Rotterdam,False,300,2893,302.0333251953125,312.3500061035156,326.14666748046875,0.1750742495059967,1.1750742197036743,0.43138610438990665,0.16582486033439636,0.20532319391634982,0.6660905634289664,0.11199446940891808,0.01659177324576564,6.436833381652832,6.607500076293945,6.817500114440918,7.019999980926514,7.197333335876465,6.478888988494873,6.655555725097656,6.874444484710693,7.075555324554443,7.28000020980835,6.607500076293945,7.019999980926514,6.655555725097656,7.075555324554443
a300,F,Singapore,False,300,279,303.7366638183594,315.4666748046875,327.106689453125,0.10491872578859329,1.1049187183380127,0.26881720430107525,0.10617555677890778,0.5197132616487455,0.41935483870967744,0.05017921146953405,0.010752688172043012,6.653833389282227,6.864166259765625,7.110000133514404,7.376667022705078,7.588833332061768,6.714666843414307,6.921111106872559,7.155555725097656,7.393888473510742,7.5960001945495605,6.864166259765625,7.376667022705078,6.921111106872559,7.393888473510742
a300,F,Stockholm,False,300,238,300.97998046875,312.375,327.9150085449219,0.11496134847402573,1.1149612665176392,0.226890756302521,0.1111602932214737,0.5,0.41596638655462187,0.06302521008403361,0.02100840336134454,6.591750144958496,6.792916297912598,7.032083511352539,7.302708148956299,7.488500118255615,6.632999897003174,6.848333358764648,7.081666469573975,7.349999904632568,7.519555568695068,6.792916297912598,7.302708148956299,6.848333358764648,7.349999904632568
a300,F,Sydney,False,300,262,304.0916748046875,316.066650390625,327.48834228515625,0.1874740868806839,1.1874741315841675,0.5229007633587787,0.17272722721099854,0.22900763358778625,0.5916030534351145,0.16030534351145037,0.019083969465648856,6.391333103179932,6.582499980926514,6.842916488647461,7.105208396911621,7.26158332824707,6.487888813018799,6.696944713592529,6.961111068725586,7.203888893127441,7.4076666831970215,6.582499980926514,7.105208396911621,6.696944713592529,7.203888893127441
a300,F,Valencia,False,300,108,302.29168701171875,314.0999755859375,326.39666748046875,0.14872342348098755,1.1487234830856323,0.5648148148148148,0.16280041635036469,0.2222222222222222,0.6759259259259259,0.09259259259259259,0.009259259259259259,6.5395002365112305,6.715624809265137,6.884583473205566,7.098333358764648,7.300750255584717,6.535333633422852,6.719444274902344,6.840555191040039,7.047500133514404,7.2820000648498535,6.715624809265137,7.098333358764648,6.719444274902344,7.047500133514404
a300,F,Warsaw,False,300,271,301.7833251953125,311.3500061035156,327.48333740234375,0.15223945677280426,1.152239441871643,0.39114391143911437,0.14381732046604156,0.2915129151291513,0.6014760147601476,0.0996309963099631,0.007380073800738007,6.485000133514404,6.641249656677246,6.875,7.068333625793457,7.270833492279053,6.561110973358154,6.721111297607422,6.967777729034424,7.121110916137695,7.3222222328186035,6.641249656677246,7.068333625793457,6.721111297607422,7.121110916137695
a300,F,Washington,False,300,17530,303.2166748046875,317.0833435058594,333.9216613769531,0.1519821137189865,1.151982069015503,0.4278379920136908,0.15293507277965546,0.32618368511123785,0.5250998288648032,0.131374786081004,0.017341699942954935,6.520750045776367,6.753333568572998,7.004166603088379,7.264999866485596,7.548333168029785,6.519999980926514,6.760000228881836,7.013888835906982,7.294444561004639,7.595555782318115,6.753333568572998,7.264999866485596,6.760000228881836,7.294444561004639
a300,M,Amsterdam,False,300,4376,302.1000061035156,311.8833312988281,326.45001220703125,0.24232245981693268,1.242322564125061,0.6880712979890311,0.2367149293422699,0.1336837294332724,0.45978062157221206,0.29638939670932357,0.11014625228519195,6.074166774749756,6.334166526794434,6.624166488647461,6.90500020980835,7.134166717529297,6.098888874053955,6.366389274597168,6.664999961853027,6.943333148956299,7.176111221313477,6.334166526794434,6.90500020980835,6.366389274597168,6.943333148956299
a300,M,Auckland,False,300,89,303.933349609375,320.4166564941406,328.7166748046875,0.2841469943523407,1.2841469049453735,0.8426966292134831,0.27385568618774414,0.10112359550561797,0.3595505617977528,0.4157303370786517,0.12359550561797752,6.044000148773193,6.259166717529297,6.619999885559082,6.955833435058594,7.388999938964844,6.041333198547363,6.329999923706055,6.676666736602783,7.026666641235352,7.369111061096191,6.259166717529297,6.955833435058594,6.329999923706055,7.026666641235352
a300,M,Austin,False,300,614,303.54498291015625,316.125,329.1650085449219,0.2210332751274109,1.2210332155227661,0.6270358306188925,0.2176578789949417,0.1970684039087948,0.4511400651465798,0.26058631921824105,0.09120521172638436,6.151666641235352,6.443333625793457,6.774583339691162,7.121458530426025,7.434750080108643,6.19177770614624,6.4844441413879395,6.804444313049316,7.130833148956299,7.496333122253418,6.443333625793457,7.121458530426025,6.4844441413879395,7.130833148956299
