ability_band,sex,course,is_major,ability_lo_min,n,finish_p10_min,finish_p50_min,finish_p90_min,mean_positive_split,mean_split_ratio,htw_rate,mean_severity,severity_none_rate,severity_mild_rate,severity_moderate_rate,severity_severe_rate,pace_first_half_p10,pace_first_half_p25,pace_first_half_p50,pace_first_half_p75,pace_first_half_p90,base_pace_p10,base_pace_p25,base_pace_p50,base_pace_p75,base_pace_p90,recommended_first_half_lo,recommended_first_half_hi,recommended_base_pace_lo,recommended_base_pace_hi
a120,F,Berlin,True,120,159,140.3766632080078,144.93333435058594,149.2566680908203,0.03068634867668152,1.0306862592697144,0.012578616352201259,0.03451767936348915,0.9685534591194969,0.025157232704402517,0.0,0.006289308176100629,3.2773332595825195,3.3029165267944336,3.362499952316284,3.4541666507720947,3.497499942779541,3.2799999713897705,3.2966666221618652,3.366666555404663,3.457777738571167,3.497999906539917,3.3029165267944336,3.4541666507720947,3.2966666221618652,3.457777738571167
a120,F,Boston,True,120,95,141.0433349609375,144.71665954589844,148.68333435058594,0.02707558125257492,1.0270756483078003,0.0,0.03778786212205887,0.9473684210526315,0.05263157894736842,0.0,0.0,3.2941665649414062,3.351250171661377,3.388333320617676,3.435833215713501,3.4546666145324707,3.2655556201934814,3.3188889026641846,3.3755555152893066,3.4394445419311523,3.4733333587646484,3.351250171661377,3.435833215713501,3.3188889026641846,3.4394445419311523
a120,F,Chicago,True,120,38,131.29833984375,143.49166870117188,149.4216766357422,0.05408158525824547,1.054081678390503,0.02631578947368421,0.05236862599849701,0.9210526315789473,0.05263157894736842,0.02631578947368421,0.0,2.959416627883911,3.2004168033599854,3.3270833492279053,3.4191665649414062,3.4608335494995117,2.9236667156219482,3.2088890075683594,3.342777729034424,3.418888807296753,3.4743332862854004,3.2004168033599854,3.4191665649414062,3.2088890075683594,3.418888807296753
a120,F,London,True,120,72,136.65333557128906,141.60833740234375,147.94833374023438,0.029965348541736603,1.0299652814865112,0.0,0.03290903568267822,0.9583333333333334,0.041666666666666664,0.0,0.0,3.179166555404663,3.248333215713501,3.3154168128967285,3.411041736602783,3.4440832138061523,3.190000057220459,3.2497222423553467,3.3333334922790527,3.418888807296753,3.4608888626098633,3.248333215713501,3.411041736602783,3.2497222423553467,3.418888807296753
a120,F,New York,True,120,66,142.8416748046875,146.64166259765625,149.60000610351562,0.011803500354290009,1.0118035078048706,0.0,0.027921319007873535,0.9696969696969697,0.030303030303030304,0.0,0.0,3.3754167556762695,3.4077084064483643,3.449166774749756,3.505000114440918,3.517083168029785,3.358333110809326,3.396111011505127,3.415555477142334,3.4533333778381348,3.529444456100464,3.4077084064483643,3.505000114440918,3.396111011505127,3.4533333778381348
a120,M,Berlin,True,120,1905,132.26666259765625,145.5833282470703,150.5433349609375,0.03753826394677162,1.0375382900238037,0.04251968503937008,0.03976770490407944,0.9091863517060368,0.08556430446194226,0.004724409448818898,0.0005249343832020997,3.0399999618530273,3.2100000381469727,3.384166717529297,3.488333225250244,3.5399999618530273,3.0411109924316406,3.214444398880005,3.387777805328369,3.4911110401153564,3.5411109924316406,3.2100000381469727,3.488333225250244,3.214444398880005,3.4911110401153564
a120,M,Boston,True,120,1082,133.05999755859375,147.64166259765625,158.62832641601562,0.047495268285274506,1.0474952459335327,0.04066543438077634,0.047581277787685394,0.9001848428835489,0.08687615526802218,0.009242144177449169,0.0036968576709796672,3.050833225250244,3.302708387374878,3.430833339691162,3.520624876022339,3.627333402633667,3.0778889656066895,3.31333327293396,3.4377777576446533,3.5222222805023193,3.640000104904175,3.302708387374878,3.520624876022339,3.31333327293396,3.5222222805023193
a120,M,Chicago,True,120,354,130.7083282470703,146.75,154.0050048828125,0.04403473064303398,1.044034719467163,0.05649717514124294,0.04634065181016922,0.8898305084745762,0.1016949152542373,0.00847457627118644,0.0,3.0374999046325684,3.2595834732055664,3.397083282470703,3.4931249618530273,3.558666706085205,3.048888921737671,3.25944447517395,3.3983333110809326,3.48972225189209,3.5604445934295654,3.2595834732055664,3.4931249618530273,3.25944447517395,3.48972225189209
a120,M,London,True,120,1503,137.60333251953125,148.13333129882812,160.1300048828125,0.04480598866939545,1.0448060035705566,0.0552228875582169,0.04421699047088623,0.8995342648037259,0.08050565535595476,0.015968063872255488,0.003992015968063872,3.19433331489563,3.3375000953674316,3.449166774749756,3.5274999141693115,3.698333501815796,3.2068889141082764,3.347222328186035,3.4600000381469727,3.538888931274414,3.7100000381469727,3.3375000953674316,3.5274999141693115,3.347222328186035,3.538888931274414
a120,M,New York,True,120,399,130.94000244140625,145.3333282470703,150.84666442871094,0.04540897160768509,1.0454089641571045,0.05263157894736842,0.0518941767513752,0.8922305764411027,0.09273182957393483,0.007518796992481203,0.007518796992481203,3.066666603088379,3.119999885559082,3.3483333587646484,3.4741666316986084,3.552500009536743,3.069777727127075,3.1127777099609375,3.342222213745117,3.466111183166504,3.5446667671203613,3.119999885559082,3.4741666316986084,3.1127777099609375,3.466111183166504
a120,M,Tokyo,True,120,226,128.52499389648438,141.61666870117188,148.9083251953125,0.04403642937541008,1.0440365076065063,0.01327433628318584,0.04458364471793175,0.8982300884955752,0.09734513274336283,0.004424778761061947,0.0,2.9791667461395264,3.0816667079925537,3.258333206176758,3.3949999809265137,3.480416774749756,2.9844443798065186,3.086944341659546,3.259999990463257,3.404444456100464,3.4811110496520996,3.0816667079925537,3.3949999809265137,3.086944341659546,3.404444456100464
a150,F,Berlin,True,150,1636,159.875,175.36666870117188,181.9083251953125,0.0294948797672987,1.0294948816299438,0.022616136919315404,0.03340332582592964,0.9382640586797066,0.055623471882640586,0.003667481662591687,0.0024449877750611247,3.7283332347869873,3.9347915649414062,4.097499847412109,4.205833435058594,4.2758331298828125,3.740000009536743,3.9363889694213867,4.0966668128967285,4.2047224044799805,4.273333549499512,3.9347915649414062,4.205833435058594,3.9363889694213867,4.2047224044799805
a150,F,Boston,True,150,1964,165.63833618164062,176.96665954589844,189.2949981689453,0.034267671406269073,1.034267544746399,0.026476578411405296,0.039145201444625854,0.9164969450101833,0.07841140529531568,0.0050916496945010185,0.0,3.8496665954589844,4.014166831970215,4.137499809265137,4.2216668128967285,4.370083332061768,3.8517777919769287,4.018610954284668,4.135555744171143,4.217777729034424,4.361222267150879,4.014166831970215,4.2216668128967285,4.018610954284668,4.217777729034424
a150,F,Chicago,True,150,667,164.2433319091797,175.9166717529297,183.09666442871094,0.030522679910063744,1.0305227041244507,0.03298350824587706,0.03515778109431267,0.9325337331334332,0.05697151424287856,0.004497751124437781,0.005997001499250375,3.8331668376922607,3.978749990463257,4.115833282470703,4.212500095367432,4.286499977111816,3.829777956008911,3.9844446182250977,4.113333225250244,4.211111068725586,4.281555652618408,3.978749990463257,4.212500095367432,3.9844446182250977,4.211111068725586
a150,F,London,True,150,1657,165.47666931152344,177.14999389648438,192.33999633789062,0.042824886739254,1.0428248643875122,0.0356065178032589,0.042050231248140335,0.9112854556427278,0.07845503922751962,0.007845503922751962,0.0024140012070006035,3.8333332538604736,3.9766666889190674,4.125833511352539,4.230833530426025,4.430833339691162,3.851555585861206,3.992222309112549,4.141110897064209,4.248888969421387,4.458222389221191,3.9766666889190674,4.230833530426025,3.992222309112549,4.248888969421387
a150,F,New York,True,150,804,164.6666717529297,176.1750030517578,187.4683380126953,0.04430125653743744,1.0443012714385986,0.03855721393034826,0.04796586558222771,0.8880597014925373,0.10074626865671642,0.008706467661691543,0.0024875621890547263,3.8127498626708984,3.9649999141693115,4.094583511352539,4.193333148956299,4.2791666984558105,3.821444511413574,3.968888998031616,4.092222213745117,4.190278053283691,4.288888931274414,3.9649999141693115,4.193333148956299,3.968888998031616,4.190278053283691
a150,M,Berlin,True,150,31513,159.61666870117188,174.75,186.6800079345703,0.041613999754190445,1.041614055633545,0.06124456573477612,0.045596592128276825,0.8770666074318535,0.10992288896645828,0.010884396915558658,0.002126106686129534,3.7076666355133057,3.869999885559082,4.048333168029785,4.196666717529297,4.2816667556762695,3.711111068725586,3.8722221851348877,4.046666622161865,4.193333148956299,4.275555610656738,3.869999885559082,4.196666717529297,3.8722221851348877,4.193333148956299
a150,M,Boston,True,150,20480,159.13333129882812,172.78334045410156,182.60166931152344,0.05615722015500069,1.056157112121582,0.07734375,0.05876821279525757,0.83056640625,0.14833984375,0.017041015625,0.004052734375,3.674166679382324,3.821666717529297,3.9858334064483643,4.127500057220459,4.223333358764648,3.676666736602783,3.82194447517395,3.986666679382324,4.128889083862305,4.222222328186035,3.821666717529297,4.127500057220459,3.82194447517395,4.128889083862305
a150,M,Chicago,True,150,6817,159.3766632080078,172.60000610351562,179.71665954589844,0.04472119361162186,1.0447211265563965,0.07613319642071292,0.04903677478432655,0.8685638844066305,0.11794044301012176,0.00982837025084348,0.0036673023324042832,3.68833327293396,3.8383333683013916,4.0,4.140833377838135,4.228333473205566,3.68666672706604,3.834444522857666,3.9955556392669678,4.137777805328369,4.225555419921875,3.8383333683013916,4.140833377838135,3.834444522857666,4.137777805328369
a150,M,London,True,150,16414,157.6999969482422,172.5416717529297,190.0783233642578,0.05275436490774155,1.0527544021606445,0.07901791153893019,0.05293424427509308,0.8517119532106738,0.12666016814914097,0.01638844888509809,0.005239429755087121,3.6566667556762695,3.7983334064483643,3.990833282470703,4.163333415985107,4.292500019073486,3.6666667461395264,3.8077778816223145,4.001111030578613,4.1777777671813965,4.309999942779541,3.7983334064483643,4.163333415985107,3.8077778816223145,4.1777777671813965
a150,M,New York,True,150,8957,159.85000610351562,174.0500030517578,188.10000610351562,0.0632951483130455,1.0632952451705933,0.10371776264374233,0.06643876433372498,0.8032823490007815,0.16713185218265045,0.022663838338729484,0.006921960477838562,3.6691665649414062,3.8350000381469727,4.0,4.15500020980835,4.264500141143799,3.6666667461395264,3.8333332538604736,4.0,4.1533331871032715,4.266666889190674,3.8350000381469727,4.15500020980835,3.8333332538604736,4.1533331871032715
a150,M,Tokyo,True,150,127,150.94667053222656,154.14999389648438,156.4566650390625,0.04572850465774536,1.0457286834716797,0.06299212598425197,0.046344172209501266,0.889763779527559,0.10236220472440945,0.0,0.007874015748031496,3.455166816711426,3.5183334350585938,3.5833332538604736,3.630000114440918,3.6659998893737793,3.4673333168029785,3.528888702392578,3.5799999237060547,3.6305556297302246,3.6626665592193604,3.5183334350585938,3.630000114440918,3.528888702392578,3.6305556297302246
a180,F,Berlin,True,180,10544,188.0,202.5833282470703,210.8283233642578,0.034825798124074936,1.0348258018493652,0.029874810318664645,0.040132880210876465,0.9100910470409712,0.08535660091047041,0.0033194233687405157,0.0012329286798179059,4.34108304977417,4.524166584014893,4.7133331298828125,4.875833511352539,4.989166736602783,4.3433332443237305,4.525555610656738,4.711111068725586,4.869999885559082,4.982222080230713,4.524166584014893,4.875833511352539,4.525555610656738,4.869999885559082
a180,F,Boston,True,180,16752,187.64999389648438,201.00833129882812,211.06500244140625,0.05184299498796463,1.0518430471420288,0.04566618911174785,0.05504733696579933,0.848018147086915,0.1418935052531041,0.007700573065902579,0.002387774594078319,4.329166889190674,4.483333110809326,4.646666526794434,4.794166564941406,4.913333415985107,4.329999923706055,4.483333110809326,4.646666526794434,4.792222023010254,4.913333415985107,4.483333110809326,4.794166564941406,4.483333110809326,4.792222023010254
a180,F,Chicago,True,180,5026,187.8249969482422,200.6999969482422,209.31666564941406,0.04020022228360176,1.0402002334594727,0.044767210505372065,0.045238129794597626,0.8867886987664146,0.10565061679267808,0.006764822920811779,0.0007958615200955034,4.334166526794434,4.495833396911621,4.669166564941406,4.81083345413208,4.921249866485596,4.340000152587891,4.498888969421387,4.663333415985107,4.80222225189209,4.9116668701171875,4.495833396911621,4.81083345413208,4.498888969421387,4.80222225189209
a180,F,London,True,180,9034,187.5050048828125,201.4499969482422,216.42832946777344,0.053662195801734924,1.0536621809005737,0.0481514279388975,0.05206455662846565,0.8577595749391189,0.13249944653531104,0.0074164268319681205,0.0023245516936019482,4.308333396911621,4.472499847412109,4.662499904632568,4.832499980926514,4.978333473205566,4.331110954284668,4.492500305175781,4.682222366333008,4.853333473205566,5.0,4.472499847412109,4.832499980926514,4.492500305175781,4.853333473205566
a180,F,New York,True,180,6438,188.56666564941406,202.78334045410156,216.85000610351562,0.058498017489910126,1.0584980249404907,0.06461634047840945,0.062113694846630096,0.8036657347002174,0.18468468468468469,0.009164336750543647,0.0024852438645542093,4.325583457946777,4.489166736602783,4.670833110809326,4.833333492279053,4.975833415985107,4.32444429397583,4.489999771118164,4.672222137451172,4.827777862548828,4.9811110496521,4.489166736602783,4.833333492279053,4.489999771118164,4.827777862548828
a180,M,Berlin,True,180,91245,186.53334045410156,201.31666564941406,216.73333740234375,0.06337442249059677,1.063374400138855,0.13011123897199847,0.06808512657880783,0.7615102197380679,0.2123842402323415,0.02202860430708532,0.004076935722505343,4.249166488647461,4.413333415985107,4.625833511352539,4.834166526794434,4.985833168029785,4.248888969421387,4.409999847412109,4.621110916137695,4.826666831970215,4.980000019073486,4.413333415985107,4.834166526794434,4.409999847412109,4.826666831970215
a180,M,Boston,True,180,23878,183.5833282470703,196.3000030517578,209.53834533691406,0.0933639258146286,1.093363881111145,0.17752743110813302,0.09365854412317276,0.6493006114414943,0.2942457492252282,0.047156378256135355,0.00929726107714214,4.1591668128967285,4.264999866485596,4.448333263397217,4.647500038146973,4.824166774749756,4.167778015136719,4.269999980926514,4.453333377838135,4.650000095367432,4.827777862548828,4.264999866485596,4.647500038146973,4.269999980926514,4.650000095367432
a180,M,Chicago,True,180,12061,184.23333740234375,197.8000030517578,209.13333129882812,0.07369470596313477,1.0736947059631348,0.18331813282480722,0.07775873690843582,0.7156952159854075,0.24591659066412402,0.032833098416383384,0.005555094934085068,4.203333377838135,4.307499885559082,4.508333206176758,4.7166666984558105,4.889166831970215,4.206666469573975,4.3077778816223145,4.507777690887451,4.707777976989746,4.872222423553467,4.307499885559082,4.7166666984558105,4.3077778816223145,4.707777976989746
a180,M,London,True,180,23814,185.3000030517578,200.23333740234375,214.0,0.08152647316455841,1.081526517868042,0.1710758377425044,0.08014050126075745,0.7047115142353237,0.2537582934408331,0.03493743176282859,0.0065927605610145296,4.2191667556762695,4.334166526794434,4.571666717529297,4.772500038146973,4.949999809265137,4.238888740539551,4.353333473205566,4.588889122009277,4.791110992431641,4.96999979019165,4.334166526794434,4.772500038146973,4.353333473205566,4.791110992431641
a180,M,New York,True,180,21894,185.8383331298828,200.98333740234375,219.5500030517578,0.09351512789726257,1.093515157699585,0.2223440211930209,0.0964798629283905,0.6235955056179775,0.3157486069242715,0.05106421850735361,0.00959166895039737,4.204999923706055,4.332499980926514,4.559166431427002,4.771666526794434,4.955833435058594,4.204444408416748,4.328888893127441,4.553333282470703,4.764444351196289,4.954444408416748,4.332499980926514,4.771666526794434,4.328888893127441,4.764444351196289
a210,F,Berlin,True,210,35213,215.6699981689453,230.53334045410156,239.85000610351562,0.0439978651702404,1.043997883796692,0.04589214210660836,0.04889974743127823,0.8668105529207963,0.12577741175134183,0.0063044898191009,0.001107545508760969,4.979166507720947,5.137499809265137,5.3433332443237305,5.53000020980835,5.668333530426025,4.983333110809326,5.141110897064209,5.3466668128967285,5.528888702392578,5.665555477142334,5.137499809265137,5.53000020980835,5.141110897064209,5.528888702392578
a210,F,Boston,True,210,18646,213.1583251953125,225.00833129882812,238.64999389648438,0.0787304937839508,1.0787304639816284,0.09610640351818084,0.07864589989185333,0.7151667918052129,0.26252279309235227,0.019575244020165184,0.0027351710822696557,4.8433332443237305,4.9691667556762695,5.137499809265137,5.324999809265137,5.492499828338623,4.8577775955200195,4.976666450500488,5.146666526794434,5.336666584014893,5.501111030578613,4.9691667556762695,5.324999809265137,4.976666450500488,5.336666584014893
a210,F,Chicago,True,210,9378,214.43333435058594,228.125,238.8333282470703,0.05436904728412628,1.0543690919876099,0.08861164427383238,0.060480039566755295,0.8018767327788441,0.18255491576029004,0.013009170398805716,0.0025591810620601407,4.909749984741211,5.055833339691162,5.258333206176758,5.455833435058594,5.604166507720947,4.913333415985107,5.0502777099609375,5.25,5.44444465637207,5.586666584014893,5.055833339691162,5.455833435058594,5.0502777099609375,5.44444465637207
a210,F,London,True,210,16533,214.40333557128906,228.8333282470703,239.81666564941406,0.06980504095554352,1.0698050260543823,0.08086856589850602,0.06653120368719101,0.772394604729934,0.21109296558398355,0.013730115526522712,0.0027823141595596686,4.914166450500488,5.039999961853027,5.242499828338623,5.4375,5.604000091552734,4.941111087799072,5.070000171661377,5.27222204208374,5.465555667877197,5.631111145019531,5.039999961853027,5.4375,5.070000171661377,5.465555667877197
a210,F,New York,True,210,19460,215.81666564941406,230.81666564941406,244.31666564941406,0.07487539201974869,1.0748754739761353,0.11120246659815006,0.0771910771727562,0.7108427543679342,0.26772867420349433,0.01762589928057554,0.003802672147995889,4.912499904632568,5.063333511352539,5.275000095367432,5.475833415985107,5.644999980926514,4.917778015136719,5.067500114440918,5.278888702392578,5.476666450500488,5.644444465637207,5.063333511352539,5.475833415985107,5.067500114440918,5.476666450500488
