cohort_key,n
a360|Amsterdam|null|M,13
a270|Eindhoven|null|F,13
a210|Austin|null|F,13
a360|Austin|null|M,12
a180|Washington|null|F,12
a330|Gold Coast|null|M,11
a120|Boston|null|M,11
a270|Auckland|null|F,11
a210|Dubai|null|F,11
a210|Eindhoven|null|F,11
a180|Eindhoven|null|F,11
a180|Barcelona|null|F,11
a360|Chicago|null|F,11
a360|Austin|null|F,10
a150|Washington|null|M,10
a330|Auckland|null|M,9
a270|Barcelona|null|F,9
a360|Auckland|null|M,9
a330|Rotterdam|null|F,9
a390|Chicago|null|F,8
a360|Chicago|null|M,8
a150|Copenhagen|null|F,8
a330|Dubai|null|F,8
a330|Gold Coast|null|F,8
a360|Copenhagen|null|M,8
a360|Amsterdam|null|F,8
a330|Chicago|null|M,8
a300|Auckland|null|M,8
a390|Washington|null|F,8
a150|Helsinki|null|M,7
a300|Helsinki|null|F,7
a150|Amsterdam|null|F,7
a300|Gold Coast|null|F,7
a120|Rotterdam|null|M,7
a390|Washington|null|M,7
a300|Auckland|null|F,6
a300|Gold Coast|null|M,6
a330|Helsinki|null|M,6
a120|Copenhagen|null|M,6
a390|Berlin|null|F,6
a150|Chicago|null|F,5
a300|Eindhoven|null|M,5
a360|Dubai|null|M,5
a330|Oslo|null|M,5
a390|Amsterdam|null|M,5
a360|Boston|null|M,5
a300|Barcelona|null|M,5
a300|Barcelona|null|F,5
a330|Barcelona|null|M,5
a150|Oslo|null|F,5
a360|Copenhagen|null|F,5
a330|Rotterdam|null|M,5
a330|Auckland|null|F,5
a420|Amsterdam|null|M,4
a390|Austin|null|F,4
a420|Chicago|null|F,4
a480|Amsterdam|null|M,4
a420|London|null|M,4
a420|Washington|null|F,4
a390|Auckland|null|F,4
a120|Hamburg|null|M,4
a120|Dubai|null|F,4
a150|Rotterdam|null|F,4
a360|Gold Coast|null|M,4
a330|Helsinki|null|F,4
a180|Hamburg|null|F,4
a180|Dubai|null|F,4
a300|Eindhoven|null|F,4
a180|Auckland|null|F,4
a150|Eindhoven|null|F,4
a360|Madrid|null|M,3
