label,value,n_value,successes
Moderate slowing,42.62518577463635,170906,72849
Pronounced slowing,31.545996044609318,170906,53914
Similar 20 km blocks,21.728318490866325,170906,37135
Faster second 20 km,4.100499689888008,170906,7008
