sex,htw_start_km,n,pct
F,20.0,17010,0.10158802204955776
F,25.0,33799,0.20185617620534996
F,30.0,62322,0.3722027460418894
F,35.0,54310,0.32435305570320294
M,20.0,39041,0.0671527548436812
M,25.0,115007,0.1978186234037869
M,30.0,209001,0.35949368394980186
M,35.0,218327,0.37553493780273006
