label,value,low,high,n_value,n_low,n_high,editions
Faster opening,-1.2995734251249873,-1.7035292607022914,-0.8698248430423445,240565,240565,240565,113
Similar opening,4.653348049357615,3.894260616855878,5.313910630492228,76041,76041,76041,113
Slower opening,15.04941714020927,13.060631632138096,16.72536617984758,58782,58782,58782,113
