sex,recovered,n,mean_finish,htw_rate,mean_first20_accel
F,False,217,342.46466973886334,0.5806451612903226,0.031312197435835486
F,True,31567,269.9100912345171,0.23106408591250358,-0.1255281344155629
M,False,357,317.03968253968253,0.6694677871148459,0.03914184367231716
M,True,121905,247.31743174329736,0.3633813215208564,-0.13782548691100044
