group,kick_threshold,n,mean_milestone_kick,mean_next_finish_delta,n_with_next
top_decile_kick,0.14588440860214813,251286,0.47883113603861144,-4.4666816929997,67659
rest,0.14588440860214813,2261574,0.02575770772628385,1.1983278945877445,580097
